tax_id,Order,Family,Genus,Binomial,RL2017
59659,Anura,Allophrynidae,Allophryne,Allophryne ruthveni,LC
56313,Anura,Alsodidae,Alsodes,Alsodes australis,DD
928,Anura,Alsodidae,Alsodes,Alsodes barrioi,EN
76338143,Anura,Alsodidae,Alsodes,Alsodes cantillanensis,CR
56314,Anura,Alsodidae,Alsodes,Alsodes gargola,LC
56315,Anura,Alsodidae,Alsodes,Alsodes hugoi,DD
61800,Anura,Alsodidae,Alsodes,Alsodes igneus,DD
56316,Anura,Alsodidae,Alsodes,Alsodes kaweshkari,DD
929,Anura,Alsodidae,Alsodes,Alsodes montanus,VU
56318,Anura,Alsodidae,Alsodes,Alsodes monticola,DD
930,Anura,Alsodidae,Alsodes,Alsodes nodosus,NT
18435553,Anura,Alsodidae,Alsodes,Alsodes norae,EN
56319,Anura,Alsodidae,Alsodes,Alsodes pehuenche,CR
40785,Anura,Alsodidae,Alsodes,Alsodes tumultuosus,VU
56320,Anura,Alsodidae,Alsodes,Alsodes valdiviensis,DD
932,Anura,Alsodidae,Alsodes,Alsodes vanzolinii,CR
56321,Anura,Alsodidae,Alsodes,Alsodes verrucosus,DD
56322,Anura,Alsodidae,Alsodes,Alsodes vittatus,DD
57075,Anura,Alsodidae,Eupsophus,Eupsophus calcaratus,LC
57076,Anura,Alsodidae,Eupsophus,Eupsophus contulmoensis,EN
57077,Anura,Alsodidae,Eupsophus,Eupsophus emiliopugini,LC
8375,Anura,Alsodidae,Eupsophus,Eupsophus insularis,CR
8376,Anura,Alsodidae,Eupsophus,Eupsophus migueli,EN
57078,Anura,Alsodidae,Eupsophus,Eupsophus nahuelbutensis,EN
135865,Anura,Alsodidae,Eupsophus,Eupsophus queulensis,VU
57079,Anura,Alsodidae,Eupsophus,Eupsophus roseus,NT
135782,Anura,Alsodidae,Eupsophus,Eupsophus septentrionalis,DD
57080,Anura,Alsodidae,Eupsophus,Eupsophus vertebralis,NT
57176,Anura,Alsodidae,Limnomedusa,Limnomedusa macroglossa,LC
55266,Anura,Alytidae,Alytes,Alytes cisternasii,NT
979,Anura,Alytidae,Alytes,Alytes dickhilleni,VU
55267,Anura,Alytidae,Alytes,Alytes maurus,NT
977,Anura,Alytidae,Alytes,Alytes muletensis,VU
55268,Anura,Alytidae,Alytes,Alytes obstetricans,LC
55269,Anura,Alytidae,Discoglossus,Discoglossus galganoi,LC
6713,Anura,Alytidae,Discoglossus,Discoglossus jeanneae,NT
6714,Anura,Alytidae,Discoglossus,Discoglossus montalentii,NT
55270,Anura,Alytidae,Discoglossus,Discoglossus pictus,LC
55271,Anura,Alytidae,Discoglossus,Discoglossus sardus,LC
55272,Anura,Alytidae,Discoglossus,Discoglossus scovazzi,LC
6715,Anura,Alytidae,Latonia,Latonia nigriventer,CR
55045,Anura,Aromobatidae,Allobates,Allobates alessandroi,DD
190978,Anura,Aromobatidae,Allobates,Allobates algorei,LC
55058,Anura,Aromobatidae,Allobates,Allobates bromelicola,DD
55059,Anura,Aromobatidae,Allobates,Allobates brunneus,LC
55060,Anura,Aromobatidae,Allobates,Allobates caeruleodactylus,DD
136097,Anura,Aromobatidae,Allobates,Allobates caribe,DD
55064,Anura,Aromobatidae,Allobates,Allobates cepedai,DD
55066,Anura,Aromobatidae,Allobates,Allobates chalcopis,VU
55068,Anura,Aromobatidae,Allobates,Allobates conspicuus,DD
55069,Anura,Aromobatidae,Allobates,Allobates crombiei,DD
55038,Anura,Aromobatidae,Allobates,Allobates femoralis,LC
55084,Anura,Aromobatidae,Allobates,Allobates fratisenescus,DD
55088,Anura,Aromobatidae,Allobates,Allobates fuscellus,DD
55089,Anura,Aromobatidae,Allobates,Allobates gasconi,DD
55090,Anura,Aromobatidae,Allobates,Allobates goianus,DD
136167,Anura,Aromobatidae,Allobates,Allobates granti,LC
55092,Anura,Aromobatidae,Allobates,Allobates humilis,VU
