"","species","lat.rng"
"1","Abrothrix longipilis",21.74999913
"2","Abrothrix olivaceus",25.49999898
"3","Acanthis flammea",110.99999556
"4","Acanthis hornemanni",27.58333223
"5","Acanthiza apicalis",6.41666641
"6","Acanthiza katherina",5.8333331
"7","Acanthiza pusilla",19.83333254
"8","Acanthorhynchus tenuirostris",23.99999904
"9","Accipiter cooperii",23.41666573
"10","Accipiter gentilis",15.49999938
"11","Accipiter poliocephalus",4.83333313999999
"12","Accipiter striatus",65.49999738
"13","Accipiter tachiro",32.33333204
"14","Acridotheres tristis",61.74999753
"15","Acrocephalus aedon",3.74999984999999
"16","Acrocephalus arundinaceus",59.66666428
"17","Acrocephalus scirpaceus",41.41666501
"18","Actenoides lindsayi",6.91666639
"19","Actitis hypoleucos",78.58333019
"20","Actitis macularius",47.24999811
"21","Adelomyia melanogenys",14.1666661
"22","Aechmophorus clarkii",20.24999919
"23","Aechmophorus occidentalis",21.08333249
"24","Aegithalos caudatus",17.74999929
"25","Aegithalos concinnus",7.24999971
"26","Aegolius acadicus",39.24999843
"27","Aegolius funereus",26.41666561
"28","Aeronautes saxatalis",28.08333221
"29","Aethopyga gouldiae",7.16666638
"30","Aethopyga nipalensis",4.08333317
"31","Afrixalus fulvovittatus",3.91666651
"32","Afrixalus laevis",5.99999975999999
"33","Afrixalus paradorsalis",3.74999985
"34","Agama agama",6.58333306999999
"35","Agama lebretoni",3.58333318999999
"36","Agapornis roseicollis",68.08333061
"37","Agelaius phoeniceus",32.99999868
"38","Agelaius tricolor",3.99999984
"39","Aglaeactis cupripennis",12.99999948
"40","Aglaiocercus kingii",8.333333
"41","Ahaetulla fronticincta",2.33333324
"42","Ahaetulla nasuta",8.333333
"43","Ahaetulla prasina",17.08333265
"44","Ailuroedus buccoides",5.49999977999999
"45","Ailuroedus melanotis",15.74999937
"46","Aimophila ruficeps",20.8333325
"47","Aix sponsa",15.49999938
"48","Alauda arvensis",91.33332968
"49","Alcedo atthis",28.66666552
"50","Alcedo azurea",14.1666661
"51","Alcedo cristata",43.99999824
"52","Alcedo cyanopectus",2.33333324
"53","Alcedo leucogaster",8.08333301000001
"54","Alcedo quadribrachys",8.16666634000001
"55","Alces alces",4.24999983
"56","Alcippe castaneceps",2.41666657
"57","Alcippe morrisonia",2.99999988
"58","Alcippe schaefferi",7.24999971
"59","Aleadryas rufinucha",3.99999984
"60","Alectoris chukar",11.83333286
"61","Alethe diademata",8.16666634000001
"62","Alethe poliocephala",7.74999969000001
"63","Allactaga balikunica",3.08333321
"64","Allactaga bullata",5.41666645
"65","Allactaga sibirica",13.3333328
"66","Alle alle",8.83333298
"67","Allocricetulus curtatus",6.24999975
"68","Alophoixus bres",5.49999978
"69","Alophoixus ochraceus",6.99999972
"70","Alopochen aegyptiaca",33.49999866
"71","Alticola barakshin",4.1666665
"72","Alticola lemminus",7.08333305000001
"73","Alticola strelzowi",3.83333318
"74","Amalocichla incerta",5.74999977
"75","Amazilia amazilia",7.58333303000001
"76","Amazilia beryllina",4.41666649
"77","Amazilia candida",2.58333323
"78","Amazilia chionogaster",14.41666609
"79","Amazilia cyanocephala",4.1666665
"80","Amazilia cyanura",1.58333327
"81","Amazilia fimbriata",8.83333298000001
"82","Amazilia rutila",8.49999966
"83","Amazilia tzacatl",18.49999926
"84","Amblycercus holosericeus",31.41666541
"85","Amblyornis macgregoriae",4.99999979999999
"86","Amblyospiza albifrons",6.24999975
"87","Amblyramphus holosericeus",8.83333298
"88","Ambystoma californiense",0.999999960000004
"89","Ammodramus aurifrons",11.08333289
"90","Ammodramus caudacutus",25.49999898
"91","Ammodramus humeralis",32.33333204
"92","Ammodramus nelsoni",5.91666643
"93","Passerculus sandwichensis",49.41666469
"94","Ammodramus savannarum",17.16666598
"95","Ammospermophilus harrisii",9.33333296
"96","Ammospermophilus leucurus",19.08333257
"97","Ammospermophilus nelsoni",0.333333320000001
"98","Amolops afghanus",0.333333320000001
"99","Ampelion rubrocristatus",8.91666631000001
"100","Amphiesma stolatum",8.83333298
"101","Amphispiza belli",6.16666642000001
"102","Amphispiza bilineata",8.16666634
"103","Anabacerthia striaticollis",8.99999964
"104","Anairetes flavirostris",17.99999928
"105","Anairetes nigrocristatus",3.74999984999999
"106","Anairetes parulus",35.91666523
"107","Anairetes reguloides",11.6666662
"108","Anas acuta",20.33333252
"109","Anas americana",17.58333263
"110","Anas clypeata",61.16666422
"111","Anas crecca",20.41666585
"112","Anas cyanoptera",76.6666636
"113","Anas discors",7.83333302
"114","Anas platyrhynchos",40.66666504
"115","Anas rubripes",8.333333
"116","Anas strepera",9.1666663
"117","Anas undulata",28.99999884
"118","Andigena hypoglauca",7.74999969000001
"119","Aneides lugubris",0.916666630000002
"120","Anisognathus igniventris",8.91666631000001
"121","Anisognathus lacrymosus",5.99999976000001
"122","Anisognathus somptuosus",8.99999964
"123","Anolis carolinensis",5.8333331
"124","Anoura geoffroyi",11.49999954
"125","Anourosorex squamipes",1.16666662
"126","Chen caerulescens",26.83333226
"127","Antechinus stuartii",7.4999997
"128","Anthochaera carunculata",6.33333308
"129","Anthracothorax dominicus",1.74999993
"130","Anthracothorax nigricollis",20.74999917
"131","Anthreptes collaris",27.83333222
"132","Anthus hodgsoni",34.58333195
"133","Anthus lutescens",36.16666522
"134","Anthus novaeseelandiae",58.49999766
"135","Anthus rubescens",35.16666526
"136","Anthus similis",36.58333187
"137","Anthus spinoletta",9.1666663
"138","Anthus trivialis",56.41666441
"139","Antrostomus carolinensis",17.4999993
"140","Antrostomus vociferus",28.91666551
"141","Antrozous pallidus",20.66666584
"142","Anumbius annumbi",10.74999957
"143","Apalis flavida",19.66666588
"144","Aphelocoma californica",17.99999928
"145","Aphelocoma ultramarina",0.58333331
"146","Aphriza virgata",56.41666441
"147","Aplodontia rufa",10.8333329
"148","Aplonis cantoroides",7.08333305
"149","Aplonis metallica",9.08333297
"150","Aplonis striata",1.24999995
"151","Apodemus agrarius",16.91666599
"152","Apodemus draco",2.24999991
"153","Apodemus pallipes",0.999999960000004
"154","Apodemus peninsulae",18.49999926
"155","Apodemus sylvaticus",9.91666626999999
"156","Apodemus uralensis",6.33333308
"157","Apus apus",74.1666637
"158","Aquila chrysaetos",6.91666639
"159","Arachnothera longirostra",8.83333297999999
"160","Aramides cajaneus",43.16666494
"161","Aramus guarauna",60.99999756
"162","Aratinga leucophthalmus",34.74999861
"163","Arborimus albipes",2.08333325
"164","Arborimus longicaudus",3.91666651000001
"165","Archilochus alexandri",21.49999914
"166","Archilochus colubris",34.08333197
"167","Ardea alba",9.74999961
"168","Ardea herodias",23.24999907
"169","Ardops nichollsi",4.83333314
"170","Arenaria interpres",44.66666488
"171","Arenaria melanocephala",22.24999911
"172","Arremon aurantiirostris",17.83333262
"173","Arremon brunneinucha",30.91666543
