Species,Migration,Trop/temp,Roost
Miniopterus schreibersi,2,1,1
Miniopterus robustior,0,0,1
Miniopterus tristis,0,0,1
Miniopterus inflatus,0,0,1
Miniopterus magnater,0,?,?
Miniopterus fraterculus,0,0,1
Miniopterus fuscus,0,0,1
Miniopterus australis,0,0,1
Miniopterus minor,0,0,1
Miniopterus pusillus,0,0,1
Pipistrellus subflavus,1,1,0
Mimetillus moloneyi,0,0,0
Ia io,0,?,?
Eudiscopus denticulus,0,0,0
Philetor brachypterus,0,0,0
Otonycteris hemprichi,0,0,1
Nycticeius humeralis,0,0,0
Nycticeius rueppellii,0,0,0
Antrozous dubiaquercus,0,0,1
Antrozous pallidus,1,0,0&1
Myotis peninsularis,0,0,1
Myotis cobanensis,0,0,1
Myotis aelleni,0,0,1
Myotis abei,0,0,1
Myotis oxyotus,0,0,1
Myotis dasycneme,1,0,1
Myotis ricketti,0,0,1
Myotis volans,0,1,1
Myotis albescens,0,0,1
Myotis yumanensis,0,0,1
Myotis austroriparius,0,0,1
Myotis lucifugus,1,1,1
Myotis chiloensis,0,0,1
Myotis grisescens,1,1,1
Myotis fortidens,0,0,1
Myotis montivagus,0,0,1
Myotis levis,0,0,1
Myotis velifer,0,0,1
Myotis lesueuri,0,0,1
Myotis seabrai,0,0,1
Myotis macrotarsus,0,0,1
Myotis stalkeri,0,0,1
Myotis vivesi,0,0,1
Myotis riparius,0,0,1
Myotis simus,0,0,1
Myotis ruber,0,0,1
Myotis adversus,0,0,1
Myotis bocagei,0,0,1
Myotis hasseltii,0,0,1
Myotis horsfieldii,0,0,1
Myotis capaccinii,0,1,1
Myotis daubentoni,1,1,1
Myotis longipes,0,0,1
Myotis macrodactylus,0,0,1
Myotis pruinosus,0,0,1
Myotis formosus,0,0,1
Myotis welwitschii,0,0,1
Myotis emarginatus,0,1,1
Myotis goudoti,0,0,1
Myotis morrisi,0,0,1
Myotis tricolor,0,0,1
Myotis blythii,1,1,1
