tax_id,Order,MSWFamilyLatin,Scientific,MSW3_ID,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.Source,Diet.Certainty,ForStrat.Value,ForStrat.Certainty,ForStrat.Comment,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,Activity.Source,Activity.Certainty,BodyMass.Value,BodyMass.Source,BodyMass.SpecLevel
18,Rodentia,Abrocomidae,Abrocoma boliviensis,3087,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,158,Ref_117,1
137,Chiroptera,Pteropodidae,Acerodon celebensis,3667,0,0,0,0,0,0,100,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,390,Ref_117,1
138,Chiroptera,Pteropodidae,Acerodon humilis,3668,0,0,0,0,0,0,100,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,462.47,Ref_178,2
139,Chiroptera,Pteropodidae,Acerodon jubatus,3669,0,0,0,0,0,0,100,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,1075,Ref_117,1
140,Chiroptera,Pteropodidae,Acerodon leucotis,3670,0,0,0,0,0,0,100,0,0,0,Ref_2,D1,Ar,A,,1,0,0,Ref_1,ABC,462.47,Ref_178,2
142,Chiroptera,Pteropodidae,Acerodon mackloti,3671,0,0,0,0,0,0,100,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,470.33,Ref_117,1
219,Carnivora,Felidae,Acinonyx jubatus,4791,0,100,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,0,0,1,Ref_1,ABC,46700,Ref_117,1
263,Rodentia,Muridae,Acomys cahirinus,2063,0,0,0,0,30,0,0,0,0,70,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,52.45,Ref_117,1
264,Rodentia,Muridae,Acomys cilicicus,2061,0,0,0,0,30,0,0,0,0,70,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,28.61,Ref_178,2
265,Rodentia,Muridae,Acomys cineraceus,2060,10,0,0,0,30,0,0,0,10,50,Ref_2,D1,G,A,,1,1,0,Ref_1,ABC,30.59,Ref_178,2
266,Rodentia,Muridae,Acomys ignitus,2058,0,0,0,0,30,0,0,0,0,70,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,24,Ref_117,1
267,Rodentia,Muridae,Acomys kempi,2055,0,0,0,0,30,0,0,0,0,70,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,22,Ref_117,1
268,Rodentia,Muridae,Acomys louisae,2064,0,0,0,0,30,0,0,0,0,70,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,20.2,Ref_117,1
269,Rodentia,Muridae,Acomys minous,2047,0,0,0,0,30,0,0,0,0,70,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,62.5,Ref_117,1
270,Rodentia,Muridae,Acomys mullah,2056,0,0,0,0,30,0,0,0,0,70,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,28.74,Ref_178,2
