Class,Order,Family,Genus,Species,Possible synonyms,Common name,Red List status,Movement,Migratory type,Locomotion,References,Notes
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,corriae,,Fynbos Golden Mole,NT,D,N,W,2190,
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,hottentotus,,"Hottentot Golden Mole, Zulu Golden Mole",LC,D,N,W,2191,
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,marleyi,,Marley's Golden Mole,EN,D,N,W,2192,
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,robustus,,Robust Golden Mole,VU,D,N,W,2193,
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,septentrionalis,,Highveld Golden Mole,NT,D,N,W,2194,
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Calcochloris,leucorhinus,,Congo Golden Mole,DD,D,N,W,2195,
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Calcochloris,obtusirostris,,Yellow Golden Mole,LC,D,N,W,2196,
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Calcochloris,tytonis,,Somali Golden Mole,DD,D,N,W,2197,
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Carpitalpa,arendsi,,Arend's Golden Mole,VU,D,N,W,2198,
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Chlorotalpa,duthieae,,Duthie's Golden Mole,VU,D,N,W,2199,
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Chlorotalpa,sclateri,,Sclater's Golden Mole,LC,D,N,W,2200,
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Chrysochloris,asiatica,,Cape Golden Mole,LC,D,N,W,2201,
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Chrysochloris,stuhlmanni,,Stuhlmann's Golden Mole,LC,D,N,W,2202,
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Chrysochloris,visagiei,,Visagie's Golden Mole,DD,D,N,W,2203,
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Chrysospalax,trevelyani,,Giant Golden Mole,EN,D,N,W,2204,
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Chrysospalax,villosus,,Rough-haired Golden Mole,VU,D,N,W,2205,
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Cryptochloris,wintoni,,De Winton's Golden Mole,CR,D,N,W,2206,
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Cryptochloris,zyli,,Van Zyl's Golden Mole,EN,D,N,W,2207,
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Eremitalpa,granti,,Grant's Golden Mole,LC,N,N,W,2208,Non-migratory [2208]. home ranges of 4.63Ha [2208].
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Neamblysomus,gunningi,,Gunning's Golden Mole,EN,D,N,W,2209,
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Neamblysomus,julianae,,Juliana's Golden Mole,VU,D,N,W,2210,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Echinops,telfairi,,Lesser Hedgehog Tenrec,LC,D,N,W,2211,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Geogale,aurita,,Large-eared Tenrec,LC,D,N,W,2212,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Hemicentetes,nigriceps,,Highland Streaked Tenrec,LC,D,N,W,2213,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Hemicentetes,semispinosus,,Lowland Streaked Tenrec,LC,D,N,W,2214,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Limnogale,mergulus,,Aquatic Tenrec,VU,D,N,A,2215,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,brevicaudata,,Short-tailed Shrew Tenrec,LC,D,N,W,2216,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,cowani,,Cowan's Shrew Tenrec,LC,D,N,W,2217,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,dobsoni,,Dobson's Shrew Tenrec,LC,D,N,W,2218,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,drouhardi,,Striped Shrew Tenrec,LC,D,N,W,2219,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,dryas,,Tree Shrew Tenrec,VU,D,N,W,2220,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,fotsifotsy,,Pale-footed Shrew Tenrec,LC,D,N,W,2221,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,gracilis,,Gracile Shrew Tenrec,LC,D,N,W,2222,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,gymnorhyncha,,Naked Nosed Shrew Tenrec,LC,D,N,W,2223,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,jenkinsae,,Jenkins' Shrew Tenrec,EN,D,N,W,2224,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,jobihely,,Northern Shrew Tenrec,EN,D,N,W,2225,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,longicaudata,,Lesser Long-tailed Shrew Tenrec,LC,D,N,W,2226,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,majori,,Major's Long-tailed Tenrec,LC,D,N,W,2227,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,monticola,,Mountain Shrew Tenrec,VU,D,N,W,2228,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,nasoloi,,Nasolo's Shrew Tenrec,VU,D,N,W,2229,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,parvula,,Pygmy Shrew Tenrec,LC,D,N,W,2230,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,principula,,Greater Long-tailed Shrew Tenrec,LC,D,N,W,2231,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,pusilla,,Lesser Shrew Tenrec,LC,D,N,W,2232,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,soricoides,,Shrew Tenrec,LC,D,N,W,2233,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,taiva,,Taiva Shrew Tenrec,LC,D,N,W,2234,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,talazaci,,Talzac's Shrew Tenrec,LC,D,N,W,2235,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Microgale,thomasi,,"Thomas' Shrew Tenrec, Thomas's Shrew Tenrec",LC,D,N,W,2236,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Micropotamogale,lamottei,,"Nimba Otter Shrew, Pygmy Otter-shrew",EN,D,N,A,2237,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Micropotamogale,ruwenzorii,,"Ruwenzori Otter Shrew, Rwenzori Otter Shrew",NT,D,N,A,2238,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Oryzorictes,hova,,"Fossorial Tenrec, Hova Mole Tenrec, Hova Rice Tenrec, Mole-like Rice Tenrec",LC,D,N,W,2239,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Oryzorictes,tetradactylus,,"Four-toed Mole Tenrec, Four-toed Rice Tenrec",DD,D,N,W,2240,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Potamogale,velox,,"Giant Otter-shrew, Giant Otter Shrew",LC,D,N,A,2241,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Setifer,setosus,,"Greater Hedgehog Tenrec, Large Madagascar Hedgehog",LC,D,N,W,2242,
MAMMALIA,AFROSORICIDA,TENRECIDAE,Tenrec,ecaudatus,,"Common Tenrec, Tailess Tenrec",LC,D,N,W,2243,
MAMMALIA,CARNIVORA,AILURIDAE,Ailurus,fulgens,,"Lesser Panda, Red Cat-bear, Red Panda",VU,N,N,W,3541,Non-migratory [3541]. home range of 94Ha (female) 111Ha (male) [3541].
MAMMALIA,CARNIVORA,CANIDAE,Alopex,lagopus,,"Arctic Fox, Polar Fox",LC,N,N,W,100,"Non-migratory [100]. Solitary. Primary prey: lemmings and voles. Range long distance when food is scarce, but no true migration [100]."
MAMMALIA,CARNIVORA,CANIDAE,Atelocynus,microtis,,"Short-eared Dog, Short-eared Fox, Small-eared Dog, Small-eared Zorro",NT,D,N,W,3493,
MAMMALIA,CARNIVORA,CANIDAE,Canis,adustus,,Side-striped Jackal,LC,N,N,W,3494,Non-migratory [3494]. home ranges of 154.5ha [3494].
MAMMALIA,CARNIVORA,CANIDAE,Canis,aureus,,"Asiatic Jackal, Common Jackal, Golden Jackal",LC,N,N,W,3495,Non-migratory [3495]. home range of 10km^2 [3495].
MAMMALIA,CARNIVORA,CANIDAE,Canis,latrans,,"American Jackal, Brush Wolf, Coyote, Prairie Wolf",LC,N,N,W,100,"Non-migratory [100]. Eat animals, plants. Scavengers. Usually monogamous. Breeding once a year, one pair per pack.  Ranging and dispersal behaviors, but not migratory [100]."
MAMMALIA,CARNIVORA,CANIDAE,Canis,lupus,,"Arctic Wolf, Common Wolf, Gray Wolf, Grey Wolf, Mexican Wolf, Plains Wolf, Timber Wolf, Tundra Wolf, Wolf",LC,M,T,W,537; 3642,"Walking migrant [3642] Non-migratory [100]. Tracking [3642]. Follow migratory caribou prey [3642]. Migration not obligatory/universal. ""All satellite-collared wolves showed a distinct migratory pattern, leaving the tundra denning areas in autumn and moving over large areas throughout the winter, before returning to the tundra to give birth in early spring"", seem to track caribou since individuals marked for several years wintered in different spots [3642]. Breeding once a year, one pair per pack. Carnivorous, especially ungulates, beavers, hares. Large territories: 130-13,000 square km. Dispersal up to 800 km, but no migration [100]."
MAMMALIA,CARNIVORA,CANIDAE,Canis,mesomelas,,"Black-backed Jackal, Chacal À Chabraque, Silver-backed Jackal",LC,N,N,W,3494,Non-migratory [3494]. home ranges of 210.8ha [3494].
MAMMALIA,CARNIVORA,CANIDAE,Canis,rufus,,Red Wolf,CR,N,N,W,100,"Non-migratory [100]. Moves from section to section of home range every 7-10 days. Breeding once per year, dens as found in hollow tree trunks, stream banks, etc. [100]."
MAMMALIA,CARNIVORA,CANIDAE,Canis,simensis,,"Ethiopian Wolf, Simien Fox, Simien Jackal",EN,N,N,W,3496,Non-migratory [3496]. home ranges of 6km^2 across several years [3496].
MAMMALIA,CARNIVORA,CANIDAE,Cerdocyon,thous,,"Common Fox, Common Zorro, Crab-eating Fox, Crab-eating Zorro, Forest Fox, Savannah Fox",LC,M,R,W,3497,"Walking migrant [3497]. Refuge [3497]. Avoid seasonal flooding [3497]. ""In the central llanos of Venezuela, fox home ranges similarly shift to higher ground in response to seasonal flooding, though are generally located in open palm savanna (68% of sightings) and closed habitats (shrub, woodlands, deciduous forest, 32%) "" [3497]."
MAMMALIA,CARNIVORA,CANIDAE,Chrysocyon,brachyurus,,Maned Wolf,NT,N,N,W,3498,Non-migratory [3498]. have large home ranges [3498].
MAMMALIA,CARNIVORA,CANIDAE,Cuon,alpinus,,"Asiatic Wild Dog, Dhole, Indian Wild Dog, Red Dog",EN,N,N,W,3499,"Non-migratory [3499]. home ranges of 12 and 49,5 km^2 [3499]."
