"","animal","Class","order","family","Loc","Long","devel","fem","mass","embri","Numcl","Sizecl","Lat","Mig_bi","Mig_multi"
"1","Aquila_nipalensis","Bird","Accipitriformes","Accipitridae","F",40.6500000002512,84.0000000131616,1453.87199970057,2534.50000022201,44.4999999923373,1,2.00000000088011,43.73344004,1,2
"2","Buteo_lagopus","Bird","Accipitriformes","Accipitridae","F",17.9000000027439,41.0000000121234,728.468000149042,945.499999906857,29.2500000094224,1,3.99999999952044,67.33239074,1,2
"3","Buteo_swainsoni","Bird","Accipitriformes","Accipitridae","F",15.9999999961635,43.0000000131768,729.999999896021,969.569999765053,32.7499999973387,1,2.50000000031461,47.88352811,1,2
"4","Circus_macrourus","Bird","Accipitriformes","Accipitridae","F",13.4585000040515,39.9999999954425,726.936000257331,383.500000073896,29.4999999897997,1,4.50000000100677,51.02446512,1,2
"5","Circus_pygargus","Bird","Accipitriformes","Accipitridae","F",16.2333333265083,37.5000000008863,819.335000303214,315.50000000591,29.2500000094224,1,4.25000000027062,49.9518627,1,2
"6","Haliaeetus_pelagicus","Bird","Accipitriformes","Accipitridae","F",25.000000003295,69.9999999965449,1817.34000087203,7224.74999779036,41.4999999901789,1,2.00000000088011,60.10410396,1,2
"7","Ictinia_mississippiensis","Bird","Accipitriformes","Accipitridae","F",9.58333333740386,34.0000000130505,365.000000152391,280.999999906217,30.5000000117923,1,2.00000000088011,33.56686316,1,2
"8","Pernis_apivorus","Bird","Accipitriformes","Accipitridae","F",29.0000000003923,41.9999999880985,910.967999628224,762.499999632805,32.49999998909,1,2.00000000088011,54.08663648,1,2
"9","Aquila_pomarina","Bird","Accipitriformes","Accipitridae","F",24.1999999960641,58.0000000263077,1272.13800053248,1431.66666702423,42.5000000029592,1,2.00000000088011,49.67254688,1,2
"10","Anas_acuta","Bird","Anseriformes","Anatidae","F",26.9499999904326,45.0000000103356,239.999999917922,872.249999941661,22.4999999952666,1,7.70000000108079,59.60465915,1,2
"11","Anser_albifrons","Bird","Anseriformes","Anatidae","F",25.2500000070354,41.4999999901789,1094.99999972559,2387.49999915271,26.9999999998831,1,5.49999999868866,68.28842553,1,2
"12","Anser_brachyrhynchus","Bird","Anseriformes","Anatidae","F",25.5833333384705,56.0000000148316,1094.99999972559,2707.50000033804,27.9999999950943,1,4.65000000186342,72.03651108,1,2
"13","Anser_erythropus","Bird","Anseriformes","Anatidae","F",14.750000003159,37.5000000008863,1090.40400026805,1779.24999968084,26.5000000002073,1,4.9999999978295,68.29013005,1,2
"14","Anser_fabalis","Bird","Anseriformes","Anatidae","F",23.0000000016296,56.0000000148316,1092.70200010537,2933.00000006614,27.9999999950943,1,4.9999999978295,62.77025718,1,2
"15","Aythya_affinis","Bird","Anseriformes","Anatidae","F",18.3166666633418,48.0000000044212,455.100999845515,788.499999682161,24.3999999927006,1,9.95500000481663,57.09198747,1,2
"16","Aythya_collaris","Bird","Anseriformes","Anatidae","F",20.4000000030565,52.2500000081029,364.233999914238,729.999999896021,26.7499999908511,1,8.99999999697403,53.30061602,1,2
"17","Aythya_marila","Bird","Anseriformes","Anatidae","F",19.3749999953614,42.7499999836366,455.100999845515,959.000000111783,26.5000000002073,1,9.39999999740599,64.59770332,1,2
"18","Aythya_valisineria","Bird","Anseriformes","Anatidae","F",22.4000000031137,65.9999999982559,301.734000137197,1218.66666678131,26.5000000002073,1,8.99999999697403,57.33938432,1,2
"19","Branta_bernicla","Bird","Anseriformes","Anatidae","F",23.8000000076772,45.75000001274,729.999999896021,1347.25000025112,23.9999999916493,1,3.99999999952044,74.76734552,1,2
"20","Branta_hutchinsii","Bird","Anseriformes","Anatidae","F",25.8583333419614,50.7500000039637,729.999999896021,3661.66666611522,27.9999999950943,1,5.15000000167043,66.71883432,1,2
"21","Branta_leucopsis","Bird","Anseriformes","Anatidae","F",26.9000000105504,42.5000000029592,729.999999896021,1708.50000075969,24.5000000110083,1,4.50000000100677,72.42452792,1,2
"22","Bucephala_clangula","Bird","Anseriformes","Anatidae","F",16.9166666623734,61.2499999739787,729.999999896021,895.930000068974,29.4999999897997,1,9.5000000037383,58.50830302,1,2
"23","Cygnus_columbianus","Bird","Anseriformes","Anatidae","F",22.2916666767411,60.2499999776615,1001.06899999148,6350.00000071922,30.0000000101353,1,3.99999999952044,67.97939017,1,2
