"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","search_string","dupli","SPID"
"Acanthis flammea","bird","Passeriformes","Fringillidae",50,"tavg",0.108899960803892,0.109333539003727,0.0212765957446809,NA,"Acanthis flammeatavg","SP1"
"Acanthis hornemanni","bird","Passeriformes","Fringillidae",6,"tavg",-0.674699761452994,-0.819320307252935,0.333333333333333,NA,"Acanthis hornemannitavg","SP2"
"Acanthiza apicalis","bird","Passeriformes","Acanthizidae",5,"tavg",0.564288093646835,0.639102423769258,0.5,NA,"Acanthiza apicalistavg","SP3"
"Acanthiza katherina","bird","Passeriformes","Acanthizidae",11,"tavg",-0.216924850782255,-0.220426837060225,0.125,NA,"Acanthiza katherinatavg","SP4"
"Acanthiza pusilla","bird","Passeriformes","Acanthizidae",7,"tavg",-0.103598052376398,-0.10397108145442,0.25,NA,"Acanthiza pusillatavg","SP5"
"Acanthorhynchus tenuirostris","bird","Passeriformes","Meliphagidae",11,"tavg",0.521284249475872,0.57810157976139,0.125,NA,"Acanthorhynchus tenuirostristavg","SP6"
"Accipiter cooperii","bird","Accipitriformes","Accipitridae",139,"tavg",-0.00193817295588915,-0.00193817538281952,0.00735294117647059,NA,"Accipiter cooperiitavg","SP7"
"Accipiter gentilis","bird","Accipitriformes","Accipitridae",18,"tavg",-0.107089004861045,-0.107501212463248,0.0666666666666667,NA,"Accipiter gentilistavg","SP8"
"Accipiter poliocephalus","bird","Accipitriformes","Accipitridae",6,"tavg",-0.428571428571429,-0.458145365937078,0.333333333333333,NA,"Accipiter poliocephalustavg","SP9"
"Accipiter striatus","bird","Accipitriformes","Accipitridae",137,"tavg",0.0577747083103967,0.0578391197518614,0.00746268656716418,NA,"Accipiter striatustavg","SP10"
"Accipiter tachiro","bird","Accipitriformes","Accipitridae",8,"tavg",-0.31516529872356,-0.326270071013374,0.2,NA,"Accipiter tachirotavg","SP11"
"Acridotheres tristis","bird","Passeriformes","Sturnidae",5,"tavg",0.104058619439118,0.104436667695953,0.5,NA,"Acridotheres trististavg","SP12"
"Arundinax aedon","bird","Passeriformes","Acrocephalidae",5,"tavg",-0.899978440872384,-1.47210603207655,0.5,"acrocephalus aedon","Arundinax aedontavg","SP13"
"Acrocephalus arundinaceus","bird","Passeriformes","Acrocephalidae",6,"tavg",-0.242126525543755,-0.247031839128023,0.333333333333333,NA,"Acrocephalus arundinaceustavg","SP14"
"Acrocephalus scirpaceus","bird","Passeriformes","Acrocephalidae",10,"tavg",0.0411969605158421,0.0412202906282001,0.142857142857143,NA,"Acrocephalus scirpaceustavg","SP15"
"Actenoides lindsayi","bird","Coraciiformes","Alcedinidae",5,"tavg",-0.535572058481456,-0.597925926097044,0.5,NA,"Actenoides lindsayitavg","SP16"
"Actitis hypoleucos","bird","Charadriiformes","Scolopacidae",10,"tavg",0.417285555631184,0.444400739060863,0.142857142857143,NA,"Actitis hypoleucostavg","SP17"
