tax_id,Species
22678073,Rhea americana
22678108,Casuarius casuarius
22678111,Casuarius bennetti
22678114,Casuarius unappendiculatus
22678117,Dromaius novaehollandiae
22678122,Apteryx australis
22678129,Apteryx owenii
22678132,Apteryx haastii
22678135,Tinamus tao
22678139,Tinamus solitarius
22678145,Tinamus osgoodi
22678148,Tinamus major
22678151,Tinamus guttatus
22678154,Nothocercus bonapartei
22678157,Nothocercus julius
22678160,Nothocercus nigrocapillus
22678163,Crypturellus berlepschi
22678166,Crypturellus cinereus
22678169,Crypturellus soui
22678172,Crypturellus ptaritepui
22678176,Crypturellus obsoletus
22678182,Crypturellus undulatus
22678185,Crypturellus transfasciatus
22678188,Crypturellus strigulosus
22678191,Crypturellus boucardi
22678194,Crypturellus kerriae
22678213,Crypturellus duidae
22678217,Crypturellus noctivagus
22678220,Crypturellus atrocapillus
22678223,Crypturellus variegatus
22678226,Crypturellus brevirostris
22678229,Crypturellus bartletti
22678232,Crypturellus parvirostris
22678235,Crypturellus casiquiare
22678238,Crypturellus tataupa
22678246,Nothoprocta taczanowskii
22678254,Nothoprocta ornata
22678259,Nothoprocta pentlandii
22678262,Nothoprocta cinerascens
22678265,Nothoprocta perdicaria
22678268,Nothoprocta curvirostris
22678271,Nothura darwinii
22678274,Nothura chacoensis
22678277,Nothura maculosa
22678280,Nothura minor
22678283,Nothura boraquira
22678286,Taoniscus nanus
22678289,Eudromia elegans
22678294,Eudromia formosa
22678299,Tinamotis pentlandii
22678302,Tinamotis ingoufi
22678305,Ortalis vetula
22678308,Ortalis cinereiceps
22678312,Ortalis garrula
22678315,Ortalis ruficauda
22678318,Ortalis erythroptera
22678322,Ortalis wagleri
22678325,Ortalis poliocephala
22678328,Ortalis canicollis
22678331,Ortalis leucogastra
22678342,Ortalis motmot
22678348,Ortalis superciliaris
22678354,Penelope argyrotis
22678357,Penelope barbata
22678360,Penelope ortoni
22678364,Penelope montagnii
22678367,Penelope marail
22678370,Penelope superciliaris
22678373,Penelope dabbenei
22678376,Penelope purpurascens
22678379,Penelope perspicax
22678382,Penelope albipennis
22678386,Penelope jacquacu
22678389,Penelope obscura
22678392,Penelope pileata
22678395,Penelope ochrogaster
22678398,Penelope jacucaca
22678401,Pipile pipile
22678422,Pipile cujubi
22678429,Pipile jacutinga
22678440,Aburria aburri
22678443,Chamaepetes unicolor
22678446,Chamaepetes goudotii
22678449,Penelopina nigra
22678453,Oreophasis derbianus
22678461,Nothocrax urumutum
22678464,Mitu tomentosum
22678472,Mitu salvini
22678478,Mitu tuberosum
22678486,Mitu mitu
22678497,Pauxi pauxi
22678521,Crax rubra
22678525,Crax alberti
22678530,Crax daubentoni
22678534,Crax alector
22678537,Crax globulosa
22678544,Crax blumenbachii
22678551,Alectura lathami
22678555,Aepypodius arfakianus
22678559,Aepypodius bruijnii
22678564,Talegalla cuvieri
22678568,Talegalla fuscirostris
22678572,Talegalla jobiensis
22678576,Macrocephalon maleo
22678583,Megapodius nicobariensis
22678588,Megapodius cumingii
22678593,Megapodius bernsteinii
22678602,Megapodius freycinet
22678607,Megapodius decollatus
22678611,Megapodius eremita
22678615,Megapodius layardi
22678620,Megapodius laperouse
22678625,Megapodius pritchardii
22678632,Eulipoa wallacei
22678646,Leipoa ocellata
22678649,Lerwa lerwa
22678652,Ammoperdix griseogularis
22678657,Ammoperdix heyi
22678661,Tetraogallus caucasicus
22678664,Tetraogallus caspius
22678667,Tetraogallus tibetanus
22678670,Tetraogallus altaicus
22678673,Tetraogallus himalayensis
22678676,Tetraophasis obscurus
22678680,Tetraophasis szechenyii
22678684,Alectoris graeca
22678691,Alectoris chukar
22678698,Alectoris philbyi
22678703,Alectoris magna
22678707,Alectoris barbara
22678711,Alectoris rufa
22678714,Alectoris melanocephala
22678719,Francolinus francolinus
22678722,Francolinus pictus
22678725,Francolinus pintadeanus
22678728,Francolinus pondicerianus
22678733,Francolinus gularis
22678736,Peliperdix coqui
22678740,Peliperdix albogularis
22678744,Peliperdix schlegelii
22678748,Peliperdix lathami
22678752,Dendroperdix sephaena
22678756,Scleroptila streptophora
22678760,Scleroptila finschi
22678764,Scleroptila afra
22678769,Scleroptila levaillantii
22678790,Scleroptila gutturalis
22678795,Ptilopachus nahani
22678799,Pternistis hartlaubi
22678803,Pternistis bicalcaratus
22678807,Pternistis clappertoni
22678811,Pternistis icterorhynchus
22678815,Pternistis harwoodi
22678819,Pternistis adspersus
22678823,Pternistis capensis
22678827,Pternistis hildebrandti
22678831,Pternistis natalensis
22678835,Pternistis ahantensis
22678839,Pternistis squamatus
22678843,Pternistis griseostriatus
22678847,Pternistis leucoscepus
22678851,Pternistis rufopictus
22678855,Pternistis afer
22678860,Pternistis swainsonii
22678865,Pternistis erckelii
22678869,Pternistis ochropectus
22678883,Pternistis nobilis
22678887,Pternistis jacksoni
22678891,Pternistis camerunensis
22678896,Pternistis swierstrai
22678901,Xenoperdix udzungwensis
22678911,Perdix perdix
22678916,Perdix dauurica
22678919,Perdix hodgsoniae
22678927,Margaroperdix madagarensis
22678934,Melanoperdix niger
22678944,Coturnix coturnix
22678949,Coturnix japonica
22678952,Coturnix pectoralis
22678958,Coturnix coromandelica
22678961,Coturnix delegorguei
22678965,Synoicus ypsilophorus
22678971,Synoicus adansonii
22678979,Synoicus chinensis
22678993,Anurophasis monorthonyx
22678997,Perdicula asiatica
22679002,Perdicula argoondah
22679007,Perdicula erythrorhyncha
22679012,Perdicula manipurensis
22679017,Arborophila torqueola
22679020,Arborophila rufogularis
22679023,Arborophila atrogularis
22679026,Arborophila crudigularis
22679029,Arborophila mandellii
22679032,Arborophila brunneopectus
22679035,Arborophila rufipectus
22679038,Arborophila orientalis
22679044,Arborophila javanica
22679047,Arborophila hyperythra
22679050,Arborophila gingica
22679054,Arborophila davidi
22679057,Arborophila cambodiana
22679060,Arborophila rubrirostris
22679063,Arborophila ardens
22679094,Caloperdix oculeus
22679103,Haematortyx sanguiniceps
22679106,Rollulus rouloul
22679110,Ptilopachus petrosus
22679114,Bambusicola fytchii
22679131,Galloperdix spadicea
22679134,Galloperdix lunulata
22679137,Galloperdix bicalcarata
22679141,Ophrysia superciliosa
22679144,Ithaginis cruentus
22679147,Tragopan melanocephalus
22679157,Tragopan satyra
22679163,Tragopan blythii
22679169,Tragopan temminckii
22679172,Tragopan caboti
22679179,Pucrasia macrolopha
22679182,Lophophorus impejanus
22679185,Lophophorus sclateri
22679192,Lophophorus lhuysii
22679199,Gallus gallus
22679203,Gallus sonneratii
22679209,Gallus lafayettii
22679213,Gallus varius
22679217,Lophura leucomelanos
22679220,Lophura nycthemera
22679241,Lophura swinhoii
22679274,Lophura diardi
22679278,Lophura bulweri
22679287,Crossoptilon harmani
22679292,Crossoptilon crossoptilon
22679299,Crossoptilon mantchuricum
22679307,Crossoptilon auritum
22679312,Catreus wallichii
22679325,Syrmaticus ellioti
22679330,Syrmaticus humiae
22679336,Syrmaticus mikado
22679340,Syrmaticus soemmerringii
22679346,Syrmaticus reevesii
22679346,Syrmaticus reevesii
22679355,Chrysolophus pictus
22679358,Chrysolophus amherstiae
22679361,Polyplectron chalcurum
22679365,Polyplectron inopinatum
22679372,Polyplectron germaini
22679385,Polyplectron malacense
22679393,Polyplectron schleiermacheri
22679398,Polyplectron napoleonis
22679412,Rheinardia ocellata
22679430,Afropavo congensis
22679435,Pavo cristatus
22679440,Pavo muticus
22679446,Falcipennis falcipennis
22679460,Lagopus lagopus
22679464,Lagopus muta
22679473,Lagopus leucura
22679480,Lyrurus tetrix
22679483,Lyrurus mlokosiewiczi
22679487,Tetrao urogallus
22679491,Tetrao urogalloides
22679494,Bonasa bonasia
22679497,Bonasa sewerzowi
22679500,Bonasa umbellus
22679503,Centrocercus urophasianus
22679511,Tympanuchus phasianellus
22679514,Tympanuchus cupido
22679519,Tympanuchus pallidicinctus
22679525,Meleagris gallopavo
22679529,Meleagris ocellata
22679545,Agelastes meleagrides
22679551,Agelastes niger
22679555,Numida meleagris
22679560,Guttera plumifera
22679572,Acryllium vulturinum
22679576,Dendrortyx barbatus
22679581,Dendrortyx macroura
22679586,Dendrortyx leucophrys
22679591,Oreortyx pictus
22679594,Callipepla squamata
22679597,Callipepla douglasii
22679603,Callipepla californica
22679609,Callipepla gambelii
22679615,Philortyx fasciatus
22679623,Colinus nigrogularis
22679630,Odontophorus gujanensis
22679635,Odontophorus capueira
22679640,Odontophorus melanotis
22679645,Odontophorus erythrops
22679650,Odontophorus atrifrons
22679655,Odontophorus hyperythrus
22679663,Odontophorus melanonotus
22679668,Odontophorus speciosus
22679673,Odontophorus dialeucos
22679678,Odontophorus strophium
22679683,Odontophorus columbianus
22679688,Odontophorus leucolaemus
22679693,Odontophorus balliviani
22679698,Odontophorus stellatus
22679703,Odontophorus guttatus
22679708,Dactylortyx thoracicus
22679717,Cyrtonyx ocellatus
22679720,Rhynchortyx cinctus
22679723,Anhima cornuta
22679726,Chauna chavaria
22679729,Chauna torquata
22679732,Anseranas semipalmata
22679735,Dendrocygna guttata
22679740,Dendrocygna eytoni
22679746,Dendrocygna bicolor
22679753,Dendrocygna arcuata
22679758,Dendrocygna javanica
22679763,Dendrocygna viduata
22679763,Dendrocygna viduata
22679770,Dendrocygna arborea
22679780,Dendrocygna autumnalis
22679785,Thalassornis leuconotus
22679789,Nomonyx dominicus
22679789,Nomonyx dominicus
22679814,Oxyura leucocephala
22679820,Oxyura maccoa
22679824,Oxyura vittata
22679827,Oxyura australis
22679830,Biziura lobata
22679833,Heteronetta atricapilla
22679833,Heteronetta atricapilla
22679836,Stictonetta naevosa
22679839,Cygnus olor
22679843,Cygnus atratus
22679846,Cygnus melancoryphus
22679856,Cygnus cygnus
22679859,Cygnus buccinator
22679862,Cygnus columbianus
22679866,Coscoroba coscoroba
22679869,Anser cygnoid
22679872,Anser brachyrhynchus
22679875,Anser fabalis
22679881,Anser albifrons
22679886,Anser erythropus
22679889,Anser anser
22679893,Anser indicus
22679896,Anser caerulescens
22679909,Anser rossii
22679919,Anser canagicus
22679929,Branta sandvicensis
22679935,Branta canadensis
22679943,Branta leucopsis
22679946,Branta bernicla
22679954,Branta ruficollis
22679958,Cereopsis novaehollandiae
22679958,Cereopsis novaehollandiae
22679961,Cyanochen cyanoptera
22679972,Chloephaga melanoptera
22679975,Chloephaga picta
22679978,Chloephaga hybrida
22679981,Chloephaga poliocephala
22679984,Chloephaga rubidiceps
22679987,Neochen jubata
22679993,Alopochen aegyptiaca
22680003,Tadorna ferruginea
22680007,Tadorna cana
22680007,Tadorna cana
22680011,Tadorna tadornoides
22680015,Tadorna variegata
22680021,Tadorna cristata
22680021,Tadorna cristata
22680024,Tadorna tadorna
22680029,Radjah radjah
22680033,Tachyeres pteneres
22680038,Tachyeres leucocephalus
22680047,Tachyeres brachypterus
22680052,Tachyeres patachonicus
22680057,Plectropterus gambensis
22680057,Plectropterus gambensis
22680061,Cairina moschata
22680064,Asarcornis scutulata
22680070,Pteronetta hartlaubii
22680086,Nettapus pulchellus
22680090,Nettapus coromandelianus
22680095,Nettapus auritus
22680101,Callonetta leucophrys
22680101,Callonetta leucophrys
22680104,Aix sponsa
22680107,Aix galericulata
22680111,Chenonetta jubata
22680115,Amazonetta brasiliensis
22680115,Amazonetta brasiliensis
