"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","sd.tavg","sd.tmax","sd.npp","sd.npp.sd","rng.tavg","rng.tmax","rng.npp","rng.npp.sd","SPID","migratory"
"Acanthis flammea","bird","Passeriformes","Fringillidae",50,"tavg",0.108899960803892,0.109333539003727,0.0212765957446809,6.48878668851606,6.89391842690579,4204.21773088943,11551.9135473524,25.3683071136475,27.0539264678956,17735.9436299503,39374.3724614382,"SP1","migratory"
"Acanthis hornemanni","bird","Passeriformes","Fringillidae",6,"tavg",-0.674699761452994,-0.819320307252935,0.333333333333333,7.29567369114717,8.13524984868005,6765.64021291517,16840.4015377336,18.7857241630554,20.514760017395,17735.3552367687,39373.7568587065,"SP2","migratory"
"Acanthiza apicalis","bird","Passeriformes","Acanthizidae",5,"tavg",0.564288093646835,0.639102423769258,0.5,2.38807222263981,3.20240994291401,1.39326834923722,0.389490744040987,5.7809162139892,7.6019992828369,3.66057497262954,0.929909765720368,"SP3","resident"
"Acanthiza katherina","bird","Passeriformes","Acanthizidae",11,"tavg",-0.216924850782255,-0.220426837060225,0.125,1.37603738963254,2.15334068022316,1.47149499568416,0.300333956988285,4.7600841522217,7.5505828857422,4.83203238248825,0.990397721529003,"SP4","resident"
"Acanthiza pusilla","bird","Passeriformes","Acanthizidae",7,"tavg",-0.103598052376398,-0.10397108145442,0.25,2.21832265927174,2.59775816859043,1.32136776621339,0.364068165725495,5.7434167861939,6.8314170837403,3.21781969070434,1.04919844865799,"SP5","resident"
"Acanthorhynchus tenuirostris","bird","Passeriformes","Meliphagidae",11,"tavg",0.521284249475872,0.57810157976139,0.125,2.85952934166376,2.77637777616968,0.499803903347758,0.234917337066405,7.3020830154419,8.556999206543,1.50568151473999,0.87924927473068,"SP6","resident"
"Accipiter cooperii","bird","Accipitriformes","Accipitridae",139,"tavg",-0.00193817295588915,-0.00193817538281952,0.00735294117647059,4.20113591507976,4.7946686841741,0.617276457770027,0.454321258771442,18.0602498054505,19.5611658096314,3.42110458016395,1.84724070131779,"SP7","migratory"
"Accipiter gentilis","bird","Accipitriformes","Accipitridae",18,"tavg",-0.107089004861045,-0.107501212463248,0.0666666666666667,3.08989844004817,3.22558825091967,0.498356445652957,0.452334552212563,14.6330006122589,14.8784160614013,1.6843867301941,1.44946664571762,"SP8","migratory"
"Accipiter poliocephalus","bird","Accipitriformes","Accipitridae",6,"tavg",-0.428571428571429,-0.458145365937078,0.333333333333333,2.19853856018323,2.07353733898275,0.489644608813429,0.0983532411121721,6.0889167785645,5.8378353118897,1.40103268623352,0.294088542461391,"SP9","resident"
"Accipiter striatus","bird","Accipitriformes","Accipitridae",137,"tavg",0.0577747083103967,0.0578391197518614,0.00746268656716418,4.1824289956814,4.41690321882318,0.721617690084208,0.526692110845738,21.1809158325196,19.0572490692139,4.38886913657188,2.14417243003846,"SP10","migratory"
"Accipiter tachiro","bird","Accipitriformes","Accipitridae",8,"tavg",-0.31516529872356,-0.326270071013374,0.2,4.13458673534721,3.71798593042246,1.32749440509026,0.25788497437598,9.9705009460449,10.1222953796387,4.21563804149628,0.801614880561832,"SP11","resident"
"Acridotheres tristis","bird","Passeriformes","Sturnidae",5,"tavg",0.104058619439118,0.104436667695953,0.5,6.31956402374013,5.15690108686233,1.27938661300173,0.721745162778834,13.7177495956421,11.3399906158447,3.11094689369202,1.67303988337517,"SP12","resident"
"Arundinax aedon","bird","Passeriformes","Acrocephalidae",5,"tavg",-0.899978440872384,-1.47210603207655,0.5,1.75060131109817,1.49445258097274,0.626772075340212,0.627454498132619,4.21925014257431,3.54808330535888,1.39734828472137,1.42885303497315,"SP13","migratory"
"Acrocephalus arundinaceus","bird","Passeriformes","Acrocephalidae",6,"tavg",-0.242126525543755,-0.247031839128023,0.333333333333333,7.80907003516824,7.98803116787714,0.502124642310679,0.278932740653599,22.0771656036377,22.5994997024536,1.28594893217086,0.824863433837893,"SP14","migratory"
"Acrocephalus scirpaceus","bird","Passeriformes","Acrocephalidae",10,"tavg",0.0411969605158421,0.0412202906282001,0.142857142857143,5.11193536822393,5.38073522325983,0.624589532107847,0.197642954490738,16.0092487335205,16.5788326263427,1.79918095469475,0.58938530087471,"SP15","migratory"
"Actenoides lindsayi","bird","Coraciiformes","Alcedinidae",5,"tavg",-0.535572058481456,-0.597925926097044,0.5,0.736764075157839,1.09323871205177,0.754414843640283,0.336549157222513,1.9955005645752,2.5441665649414,1.60934412479401,0.758755534887318,"SP16","resident"
"Actitis hypoleucos","bird","Charadriiformes","Scolopacidae",10,"tavg",0.417285555631184,0.444400739060863,0.142857142857143,12.7156277934887,11.6588082413952,0.921056250837456,0.483908000177367,31.7625823020935,30.1319994926452,3.05574700236321,1.51074832677841,"SP17","migratory"
"Actitis macularia","bird","Charadriiformes","Scolopacidae",18,"tavg",0.200752733387411,0.203516774474395,0.0666666666666667,7.67196510613084,8.06966813568712,0.88524468425075,0.358555475758692,30.7561597824096,28.2783854007721,4.01659002900123,1.33323588967323,"SP18","migratory"
"Adelomyia melanogenys","bird","Apodiformes","Trochilidae",16,"tavg",-0.55886620299578,-0.631182909525355,0.0769230769230769,3.60353925460973,3.96229534067738,0.646433549329087,0.365316064690288,13.3425827026368,14.241415977478,2.11114156246186,1.24284026026725,"SP19","resident"
"Aechmophorus clarkii","bird","Podicipediformes","Podicipedidae",15,"tavg",-0.26576121837502,-0.272297341280192,0.0833333333333333,5.53637457277514,5.26313317277656,0.899513286539313,0.441420465909862,18.1525556445122,19.4661664962768,3.01290312409401,1.40355682373047,"SP20","migratory"
"Aechmophorus occidentalis","bird","Podicipediformes","Podicipedidae",43,"tavg",-0.483016152910859,-0.526910801825033,0.025,4.67526198662704,4.44809155135706,0.805942976702945,0.53658077791782,22.8109990954399,26.2059164047241,2.82246081531047,2.14449371397496,"SP21","migratory"
"Aegithalos caudatus","bird","Passeriformes","Aegithalidae",8,"tavg",-0.0577827427608937,-0.0578471811142584,0.2,3.14443413800063,2.88367498878466,0.381249280764213,0.267186990085601,10.8208332061768,9.29166793823243,1.28648835420609,0.748671531677241,"SP22","migratory"
"Aegithalos concinnus","bird","Passeriformes","Aegithalidae",7,"tavg",0.0226608879815461,0.0226647680854533,0.25,5.22631389982276,7.33977961172952,1.02648703982782,0.23712806123698,13.5317506790161,18.1635017395019,2.96046686172486,0.6995837688446,"SP23","resident"
"Aegolius acadicus","bird","Strigiformes","Strigidae",87,"tavg",-0.221677637500395,-0.225419759892481,0.0119047619047619,3.06800632935985,3.69581405218929,0.681902648485459,0.548763279389897,19.8738341331482,22.9548878669739,3.65194335579872,2.13806238770485,"SP24","migratory"
"Aegolius funereus","bird","Strigiformes","Strigidae",22,"tavg",0.145062259326803,0.146092820554331,0.0526315789473684,3.12831668425113,3.00216027974712,1890.48639847856,6060.47450605397,15.6872501373291,14.3194163143635,8868.32265150547,28427.38152349,"SP25","migratory"
"Aeronautes saxatalis","bird","Apodiformes","Apodidae",12,"tavg",-0.344112525226038,-0.358749999915487,0.111111111111111,5.29923787548175,5.875645016347,0.823823145418626,0.45232783451142,15.551082611084,16.8858337402344,2.56675288081169,1.39480724930764,"SP26","migratory"
"Aethopyga gouldiae","bird","Passeriformes","Nectariniidae",6,"tavg",0.242742162810781,0.247685919616478,0.333333333333333,4.58093083361937,6.6045596270783,0.740416025503414,0.238849762260714,12.1698322296143,15.9840831756592,1.4801412820816,0.752766430377956,"SP27","migratory"
"Aethopyga nipalensis","bird","Passeriformes","Nectariniidae",7,"tavg",-0.0667734598808147,-0.0668729670493697,0.25,4.38406294992571,5.54281315311713,0.483908261664004,0.138026106409069,13.154748916626,16.6466665267945,1.15941715240479,0.39285695552825,"SP28","resident"
"Agapornis roseicollis","bird","Psittaciformes","Psittacidae",5,"tavg",0.642350661798643,0.762165410400875,0.5,5.18256882553489,6.6746559661125,0.48742047271945,0.494391218436003,10.9379997253418,13.7869997024536,1.05113637447357,1.04886776208877,"SP29","resident"
"Agelaius phoeniceus","bird","Passeriformes","Icteridae",121,"tavg",-0.230714968053018,-0.234944500386874,0.00847457627118644,4.15979977420963,4.68277614183126,0.636310178730495,0.480856111027123,24.9390261173248,27.1291880607605,3.32171884179116,1.93184772133828,"SP30","migratory"
"Agelaius tricolor","bird","Passeriformes","Icteridae",5,"tavg",-0.132812640253587,-0.133601913326087,0.5,3.51626915655819,4.63408712093745,1.12770406184823,0.460208596490119,8.0755834579467,9.1490001678467,2.57897698879242,1.09231227636337,"SP31","migratory"
"Aglaeactis cupripennis","bird","Apodiformes","Trochilidae",13,"tavg",0.0184779936526292,0.0184800971025123,0.1,4.37092068785265,4.44464355166043,0.524384364167802,0.280710459601587,13.3899173736572,12.9166660308837,1.9187518954277,1.00938048958778,"SP32","resident"
"Aglaiocercus kingi","bird","Apodiformes","Trochilidae",10,"tavg",-0.447484517430362,-0.481550528782225,0.142857142857143,3.0726786239562,2.72445266876903,0.801158187942425,0.322311308587903,9.8875827789307,9.4930000305176,2.72311472892762,1.03949362039566,"SP33","resident"
