"dupl_sp_name","orig_sp_name","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi"
"Falcipennis canadensis","Dendragapus canadensis","bird","Galliformes","Phasianidae",6,"tavg",-0.128928086826638,-0.12964966420645,0.333333333333333
"Megaceryle alcyon","Ceryle alcyon","bird","Coraciiformes","Alcedinidae",37,"tavg",0.113447785728832,0.113938285222469,0.0294117647058824
"Basileuterus rivularis","Myiothlypis rivularis","bird","Passeriformes","Parulidae",5,"tavg",-0.134619595915472,-0.13544176609294,0.5
"Bubo scandiacus","Nyctea scandiaca","bird","Strigiformes","Strigidae",12,"tavg",0.178634249426278,0.180571563573646,0.111111111111111
"Megascops asio","Otus asio","bird","Strigiformes","Strigidae",84,"tavg",-0.249443482274663,-0.254819280989053,0.0123456790123457
"Baeolophus bicolor","Parus bicolor","bird","Passeriformes","Paridae",31,"tavg",-0.0505731656655424,-0.0506163480215619,0.0357142857142857
"Passerculus sandwichensis","Ammodramus sandwichensis","bird","Passeriformes","Passerellidae",52,"tavg",-0.127545445620265,-0.128243905526066,0.0204081632653061
"Patagioenas fasciata","Columba fasciata","bird","Columbiformes","Columbidae",15,"tavg",-0.328707854217103,-0.341378889959187,0.0833333333333333
"Petrochelidon pyrrhonota","Hirundo pyrrhonota","bird","Passeriformes","Hirundinidae",25,"tavg",-0.254187262463037,-0.259884247763794,0.0454545454545455
"Lepidothrix coronata","Pipra coronata","bird","Passeriformes","Pipridae",6,"tavg",0.107504906003653,0.107921957496896,0.333333333333333
"Eurillas virens","Pycnonotus virens","bird","Passeriformes","Pycnonotidae",7,"tavg",0.152081910773849,0.153270951798806,0.25
"Parkesia motacilla","Seiurus motacilla","bird","Passeriformes","Parulidae",6,"tavg",-0.428571428571429,-0.458145365937078,0.333333333333333
"Athene cunicularia","Speotyto cunicularia","bird","Strigiformes","Strigidae",5,"tavg",0.6,0.693147180559945,0.5
"Falcipennis canadensis","Dendragapus canadensis","bird","Galliformes","Phasianidae",6,"tmax",-0.0944182019532568,-0.0947002853573982,0.333333333333333
"Megaceryle alcyon","Ceryle alcyon","bird","Coraciiformes","Alcedinidae",37,"tmax",0.11613958484453,0.116666031191701,0.0294117647058824
"Basileuterus rivularis","Myiothlypis rivularis","bird","Passeriformes","Parulidae",5,"tmax",-0.134619595915472,-0.13544176609294,0.5
"Bubo scandiacus","Nyctea scandiaca","bird","Strigiformes","Strigidae",12,"tmax",0.0595447498087595,0.059615273400793,0.111111111111111
"Megascops asio","Otus asio","bird","Strigiformes","Strigidae",84,"tmax",-0.247989291577075,-0.253269202326458,0.0123456790123457
"Baeolophus bicolor","Parus bicolor","bird","Passeriformes","Paridae",31,"tmax",-0.0293427461517536,-0.0293511718412514,0.0357142857142857
"Passerculus sandwichensis","Ammodramus sandwichensis","bird","Passeriformes","Passerellidae",52,"tmax",-0.159820860365039,-0.161202855442205,0.0204081632653061
"Patagioenas fasciata","Columba fasciata","bird","Columbiformes","Columbidae",15,"tmax",-0.515577068677732,-0.570296599318013,0.0833333333333333
"Petrochelidon pyrrhonota","Hirundo pyrrhonota","bird","Passeriformes","Hirundinidae",25,"tmax",-0.216786466209057,-0.220281623625056,0.0454545454545455
"Lepidothrix coronata","Pipra coronata","bird","Passeriformes","Pipridae",6,"tmax",-0.581048983863121,-0.664044906535834,0.333333333333333
"Eurillas virens","Pycnonotus virens","bird","Passeriformes","Pycnonotidae",7,"tmax",-0.143167513286327,-0.1441578870577,0.25
"Parkesia motacilla","Seiurus motacilla","bird","Passeriformes","Parulidae",6,"tmax",-0.428571428571429,-0.458145365937078,0.333333333333333
"Athene cunicularia","Speotyto cunicularia","bird","Strigiformes","Strigidae",5,"tmax",0.7,0.867300527694053,0.5
"Falcipennis canadensis","Dendragapus canadensis","bird","Galliformes","Phasianidae",6,"npp",-0.823167179680052,-1.16656285400416,0.333333333333333
"Megaceryle alcyon","Ceryle alcyon","bird","Coraciiformes","Alcedinidae",37,"npp",-0.0921916842696734,-0.0924542128272274,0.0294117647058824
"Basileuterus rivularis","Myiothlypis rivularis","bird","Passeriformes","Parulidae",5,"npp",-0.62555486052508,-0.734079593470017,0.5
"Bubo scandiacus","Nyctea scandiaca","bird","Strigiformes","Strigidae",12,"npp",-0.486865895495151,-0.531944267245734,0.111111111111111
"Megascops asio","Otus asio","bird","Strigiformes","Strigidae",84,"npp",-0.0668517200070873,-0.0669515780892472,0.0123456790123457
"Baeolophus bicolor","Parus bicolor","bird","Passeriformes","Paridae",31,"npp",0.161204167518303,0.16262274526657,0.0357142857142857
"Passerculus sandwichensis","Ammodramus sandwichensis","bird","Passeriformes","Passerellidae",52,"npp",-0.0717929001057738,-0.071916628444941,0.0204081632653061
"Patagioenas fasciata","Columba fasciata","bird","Columbiformes","Columbidae",15,"npp",0.265741800549439,0.272276447882087,0.0833333333333333
"Petrochelidon pyrrhonota","Hirundo pyrrhonota","bird","Passeriformes","Hirundinidae",25,"npp",-0.356902191018906,-0.373331376852039,0.0454545454545455
"Lepidothrix coronata","Pipra coronata","bird","Passeriformes","Pipridae",6,"npp",-0.366560567227735,-0.384443969694668,0.333333333333333
"Eurillas virens","Pycnonotus virens","bird","Passeriformes","Pycnonotidae",7,"npp",0.0538872437893632,0.0539394947454806,0.25
"Parkesia motacilla","Seiurus motacilla","bird","Passeriformes","Parulidae",6,"npp",-0.666736691000316,-0.804845010610536,0.333333333333333
"Athene cunicularia","Speotyto cunicularia","bird","Strigiformes","Strigidae",5,"npp",0.1,0.100335347731076,0.5
"Falcipennis canadensis","Dendragapus canadensis","bird","Galliformes","Phasianidae",6,"npp.sd",-0.85773551588106,-1.28471283550893,0.333333333333333
"Megaceryle alcyon","Ceryle alcyon","bird","Coraciiformes","Alcedinidae",37,"npp.sd",-0.0792876892500027,-0.0794544671249842,0.0294117647058824
"Basileuterus rivularis","Myiothlypis rivularis","bird","Passeriformes","Parulidae",5,"npp.sd",0.417998626845303,0.44526446580818,0.5
"Bubo scandiacus","Nyctea scandiaca","bird","Strigiformes","Strigidae",12,"npp.sd",-0.255692160943496,-0.261493755383724,0.111111111111111
"Megascops asio","Otus asio","bird","Strigiformes","Strigidae",84,"npp.sd",0.325020440483145,0.33725037843215,0.0123456790123457
"Baeolophus bicolor","Parus bicolor","bird","Passeriformes","Paridae",31,"npp.sd",0.127018350219619,0.127708130186547,0.0357142857142857
"Passerculus sandwichensis","Ammodramus sandwichensis","bird","Passeriformes","Passerellidae",52,"npp.sd",0.0597728717158547,0.0598442101344971,0.0204081632653061
"Patagioenas fasciata","Columba fasciata","bird","Columbiformes","Columbidae",15,"npp.sd",0.222121034829057,0.22588612050779,0.0833333333333333
"Petrochelidon pyrrhonota","Hirundo pyrrhonota","bird","Passeriformes","Hirundinidae",25,"npp.sd",-0.108978189898091,-0.109412707649458,0.0454545454545455
"Lepidothrix coronata","Pipra coronata","bird","Passeriformes","Pipridae",6,"npp.sd",-0.533736792456651,-0.595356043492648,0.333333333333333
"Eurillas virens","Pycnonotus virens","bird","Passeriformes","Pycnonotidae",7,"npp.sd",0.330218041228616,0.343072961901146,0.25
"Parkesia motacilla","Seiurus motacilla","bird","Passeriformes","Parulidae",6,"npp.sd",0.318874069608846,0.330393232577122,0.333333333333333
"Athene cunicularia","Speotyto cunicularia","bird","Strigiformes","Strigidae",5,"npp.sd",-1.01746837991646e-16,-5.55111512312578e-17,0.5
