"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","SPID"
"Afrixalus fulvovittatus","amphibian","Anura","Hyperoliidae",11,"prec",0.640627656785746,0.759237573211839,0.125,"SP1"
"Afrixalus laevis","amphibian","Anura","Hyperoliidae",5,"prec",-0.412041299836306,-0.438067479593152,0.5,"SP2"
"Afrixalus paradorsalis","amphibian","Anura","Hyperoliidae",8,"prec",0.253741678976379,0.259407943625445,0.2,"SP3"
"Ambystoma californiense","amphibian","Caudata","Ambystomatidae",9,"prec",0.145081949971216,0.146112934515472,0.166666666666667,"SP4"
"Amolops marmoratus","amphibian","Anura","Ranidae",5,"prec",-0.397689046328761,-0.420900812122916,0.5,"SP5"
"Aneides lugubris","amphibian","Caudata","Plethodontidae",8,"prec",0.0488760324296353,0.0489150077485988,0.2,"SP6"
"Arthroleptis poecilonotus","amphibian","Anura","Arthroleptidae",7,"prec",-0.182196984501979,-0.184254171191333,0.25,"SP7"
"Batrachoseps attenuatus","amphibian","Caudata","Plethodontidae",27,"prec",-0.324389514768396,-0.336545091990077,0.0416666666666667,"SP8"
"Anaxyrus americanus","amphibian","Anura","Bufonidae",5,"prec",-0.924096581310003,-1.61637505136784,0.5,"SP9"
"Anaxyrus boreas","amphibian","Anura","Bufonidae",11,"prec",0.665075696078337,0.801860658320713,0.125,"SP10"
"Cryptobranchus alleganiensis","amphibian","Caudata","Cryptobranchidae",11,"prec",-0.0632422116969703,-0.0633267286480692,0.125,"SP11"
"Ensatina eschscholtzii","amphibian","Caudata","Plethodontidae",13,"prec",-0.368262394165295,-0.386411380547858,0.1,"SP12"
"Gyrinophilus porphyriticus","amphibian","Caudata","Plethodontidae",5,"prec",-0.67428495338981,-0.818559275320608,0.5,"SP13"
"Pseudacris cadaverina","amphibian","Anura","Hylidae",7,"prec",0.177920305472513,0.179834183593105,0.25,"SP14"
"Pseudacris regilla","amphibian","Anura","Hylidae",29,"prec",0.389794961460898,0.411558238031187,0.0384615384615385,"SP15"
"Amnirana albolabris","amphibian","Anura","Ranidae",5,"prec",-0.161538824968079,-0.16296635046021,0.5,"SP16"
"Hyperolius ocellatus","amphibian","Anura","Hyperoliidae",7,"prec",0.517878108865137,0.573435844644547,0.25,"SP17"
"Hyperolius riggenbachi","amphibian","Anura","Hyperoliidae",6,"prec",0.874293053196028,1.35101672499752,0.333333333333333,"SP18"
"Leptopelis aubryi","amphibian","Anura","Arthroleptidae",7,"prec",-0.398021812825487,-0.421296157414259,0.25,"SP19"
"Leptopelis boulengeri","amphibian","Anura","Arthroleptidae",5,"prec",-0.51915693400166,-0.575184930264524,0.5,"SP20"
"Leptopelis calcaratus","amphibian","Anura","Arthroleptidae",7,"prec",0.294685258091431,0.303689377519414,0.25,"SP21"
"Leptopelis notatus","amphibian","Anura","Arthroleptidae",6,"prec",0.283360716438915,0.291332426565931,0.333333333333333,"SP22"
"Leptopelis rufus","amphibian","Anura","Arthroleptidae",5,"prec",-0.068529220680051,-0.0686368008550073,0.5,"SP23"
"Limnonectes kuhlii","amphibian","Anura","Dicroglossidae",7,"prec",0.0945743248728622,0.0948578149446843,0.25,"SP24"
"Notophthalmus viridescens","amphibian","Caudata","Salamandridae",8,"prec",-0.344098968437484,-0.358734622280121,0.2,"SP25"
"Plethodon cinereus","amphibian","Caudata","Plethodontidae",9,"prec",-0.152352890622648,-0.153548359217378,0.166666666666667,"SP26"
"Polypedates megacephalus","amphibian","Anura","Rhacophoridae",6,"prec",-0.010955882978376,-0.010956321359836,0.333333333333333,"SP27"
"Rana aurora","amphibian","Anura","Ranidae",8,"prec",-0.691928566937626,-0.851646319771396,0.2,"SP28"
"Rana boylii","amphibian","Anura","Ranidae",21,"prec",0.404748588763357,0.429314884589924,0.0555555555555556,"SP29"
"Rana catesbeiana","amphibian","Anura","Ranidae",24,"prec",-0.389200374004123,-0.410857314533364,0.0476190476190476,"SP30"
"Fejervarya limnocharis","amphibian","Anura","Dicroglossidae",8,"prec",-0.228100110261327,-0.232184381643318,0.2,"SP31"
"Rana sylvatica","amphibian","Anura","Ranidae",9,"prec",-0.909535715144935,-1.52483014004358,0.166666666666667,"SP32"
"Rhacophorus maximus","amphibian","Anura","Rhacophoridae",5,"prec",0.491982339166059,0.538672365639129,0.5,"SP33"
"Rhacophorus rhodopus","amphibian","Anura","Rhacophoridae",5,"prec",0.0552188177294736,0.0552750435227392,0.5,"SP34"
"Kurixalus verrucosus","amphibian","Anura","Rhacophoridae",8,"prec",-0.054583279979469,-0.0546375843693427,0.2,"SP35"
"Taricha torosa","amphibian","Caudata","Salamandridae",13,"prec",-0.33796990070374,-0.351798861289863,0.1,"SP36"
"Afrixalus fulvovittatus","amphibian","Anura","Hyperoliidae",11,"npp",-0.302281005223878,-0.312028094942066,0.125,"SP1"
"Afrixalus laevis","amphibian","Anura","Hyperoliidae",5,"npp",0.66625492326665,0.803978183971155,0.5,"SP2"
"Afrixalus paradorsalis","amphibian","Anura","Hyperoliidae",8,"npp",-0.248223344129768,-0.25351860744805,0.2,"SP3"
"Ambystoma californiense","amphibian","Caudata","Ambystomatidae",9,"npp",0.0754463113703114,0.0755899527375804,0.166666666666667,"SP4"
"Amolops marmoratus","amphibian","Anura","Ranidae",5,"npp",-0.297548443312566,-0.30682775492567,0.5,"SP5"
"Aneides lugubris","amphibian","Caudata","Plethodontidae",8,"npp",0.041790717452468,0.0418150716398906,0.2,"SP6"
"Arthroleptis poecilonotus","amphibian","Anura","Arthroleptidae",7,"npp",0.485572470325024,0.530250394665184,0.25,"SP7"
