"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","sd.tavg","sd.tmin","sd.tmax","sd.prec","sd.pet","sd.npp","sd.npp.sd","rng.tavg","rng.tmin","rng.tmax","rng.prec","rng.pet","rng.npp","rng.npp.sd"
"Afrixalus fulvovittatus","amphibian","Anura","Hyperoliidae",11,"tavg",-0.375439863887539,-0.394740620103499,0.125,1.08353924647245,1.3366899794546,1.06960440021128,16.1725637499615,71.2723972823467,0.483558883379864,0.202803726122792,3.412166595459,4.4550008773804,3.6054172515869,44.91665649414,253.01989746094,1.56543445587158,0.608051002025602
"Afrixalus laevis","amphibian","Anura","Hyperoliidae",5,"tavg",-0.412041299836306,-0.438067479593152,0.5,3.38886248571773,4.02424489383909,2.79128861339496,63.3137860959909,98.8169420047491,1.40021157037541,0.186815382046015,8.2464170455932,9.9625835418701,6.8329162597656,132.000007629395,236.40991210937,3.50595045089722,0.450609922409057
"Afrixalus paradorsalis","amphibian","Anura","Hyperoliidae",8,"tavg",-0.0897000928376578,-0.0899418398264965,0.2,1.33715564785422,1.44193181037525,1.56850195375707,41.9302851471475,95.4955736846546,0.426198364682797,0.15543347122299,3.4749164581299,3.8891658782959,4.2876663208008,101.916664123535,253.36999511719,1.2962782382965,0.498613059520723
"Agama agama","reptile","Squamata","Agamidae",11,"tavg",-0.544459305172604,-0.610472055038485,0.125,0.73061295103757,1.32959605030586,0.787095387293919,61.9639062170671,172.665671557589,0.96863859538492,0.169864469601867,2.6662502288819,4.0036678314209,2.664499282837,188.66667175293,542.58996582031,3.55334722995758,0.565818309783932
"Agama lebretoni","reptile","Squamata","Agamidae",5,"tavg",0.518283457975107,0.573989908879046,0.5,2.19420135512907,2.67879228745499,1.96189156677092,43.7557403533322,106.071484141796,0.652720405481822,0.19083260522096,5.855167388916,7.1639165878296,4.9243316650391,101.41667175293,262.04992675781,1.70936131477356,0.450609922409057
"Ahaetulla fronticincta","reptile","Squamata","Colubridae",12,"tavg",0.162399888076546,0.163850611394618,0.111111111111111,0.297102419584934,0.343702390029886,0.677605798405537,81.8468827993472,86.6854383080808,0.876974402716462,0.297534100859311,1.050500869751,0.945356369018601,1.9562492370606,197.166671752929,225.27001953124,2.4653406739235,0.85361695289612
"Ahaetulla nasuta","reptile","Squamata","Colubridae",20,"tavg",-0.252081149159291,-0.25763394063685,0.0588235294117647,2.11329228660743,1.96483734821999,2.39379860836266,76.197888836223,119.419657192255,0.857558269993195,0.377223482316573,7.1901683807373,7.0448331832886,7.7372493743896,234.416667938232,334.30993652344,2.41150939464569,1.32946652173996
"Ahaetulla prasina","reptile","Squamata","Colubridae",22,"tavg",0.41990884251998,0.447581346933185,0.0526315789473684,3.44486244690383,3.40968430097293,3.52782696220218,75.7499902901701,130.827742189566,1.05790226818013,0.384339882012828,8.8229999542236,9.0921669006348,8.8589172363281,284.749992370606,381.14001464844,3.48697578907013,1.20741319656372
"Ambystoma californiense","amphibian","Caudata","Ambystomatidae",9,"tavg",0.0392285221180145,0.0392486633409974,0.166666666666667,0.603995212683452,0.418147770439808,0.908204553839487,6.33663700524101,66.4216943182904,0.617796168030592,0.279000911256953,2.061333656311,1.41683340072632,3.1763324737549,19.0833320617676,233.95007324218,1.67901802062989,0.841242313385009
"Amolops afghanus","amphibian","Anura","Ranidae",5,"tavg",-0.397689046328761,-0.420900812122916,0.5,0.730320844852286,0.818144175387467,0.643577004064671,16.9057252223886,10.3693219000024,0.477051642679011,0.0640139223594068,1.8035831451416,1.9850845336914,1.6205844879151,38.500015258789,23.61999511719,1.30235743522644,0.15017855167389
