"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","ForStrat.Value","X","sd.tavg","sd.tmin","sd.tmax","sd.prec","sd.pet","sd.npp","sd.npp.sd","rng.tavg","rng.tmin","rng.tmax","rng.prec","rng.pet","rng.npp","rng.npp.sd","SPID"
"Abrothrix longipilis","mammal","Rodentia","Cricetidae",46,"tavg",0.472116207819002,0.512790036392757,0.0232558139534884,"G",1,2.88795958426612,2.65466258237377,3.32607239760629,54.2653763090393,192.985554367483,1.01766595814899,0.564382923876781,11.8150835037231,10.1343467235565,14.0209159851074,202.833337783814,824.279968261721,3.73317056894303,2.13583338260651,"SP1"
"Abrothrix olivaceus","mammal","Rodentia","Cricetidae",64,"tavg",0.440691745074895,0.473088947321954,0.0163934426229508,"G",2,3.87904943248845,3.52239696639051,4.42413235363643,57.7416706470951,257.339721982808,1.17184267621193,0.700570125178434,19.7645839452743,18.4221668243408,21.105583190918,217.91667175293,1137.32000732422,4.27095633745194,2.34362794458866,"SP2"
"Alces alces","mammal","Artiodactyla","Cervidae",14,"tavg",-0.339362805976837,-0.353372223577681,0.0909090909090909,"G",55,0.905292391026017,0.801541912716621,1.03915002105403,1.77672337962393,37.7844475593204,2108.12932914486,7281.07487178833,3.02841663360596,2.87450027465817,3.18708354234695,7.1666660308838,102.439971923828,7888.32253712416,27243.8871095181,"SP3"
"Allactaga balikunica","mammal","Rodentia","Dipodidae",11,"tavg",-0.706431760668521,-0.880024832716962,0.125,"G",63,3.04368154699323,2.85347828926893,3.26806343725797,2.26579751777269,114.363656128065,0.0255394118842238,0.0387290404665054,11.302083492279,10.8863330483437,11.7864997386933,6.91666650772095,414.859985351562,0.081937663257122,0.1307073533535,"SP4"
"Allactaga bullata","mammal","Rodentia","Dipodidae",8,"tavg",-0.199300290055294,-0.202003795632549,0.2,"G",64,3.30204669866568,3.26162749619603,3.40921359823389,4.69501380644355,129.657529266214,0.0861836028270642,0.143206916379209,7.49724984169007,7.99216687679291,7.2931666374207,14.6666669845581,288.929992675781,0.27563001960516,0.432494267821312,"SP5"
"Allactaga sibirica","mammal","Rodentia","Dipodidae",26,"tavg",-0.186630443637861,-0.188843722274775,0.0434782608695652,"G",65,2.95506187488203,2.87936882103231,3.09772546174968,5.7239787124332,113.423145345152,0.135068522427355,0.196604066823746,10.5575833320618,10.2022498846054,10.9183329939843,29.75,375.859985351563,0.603078030049801,0.882732138037681,"SP6"
"Allocricetulus curtatus","mammal","Rodentia","Cricetidae",6,"tavg",0.443581348528211,0.476680685695395,0.333333333333333,"G",67,4.13468639280301,3.82156768984496,4.45946184805338,5.78969792524149,179.028013059587,0.0795834061357752,0.159574373216421,10.7283334732056,9.8592504262924,11.59566664882,15.666666507721,428.720001220703,0.245352439582348,0.464368328452111,"SP7"
"Alticola barakshin","mammal","Rodentia","Cricetidae",6,"tavg",-0.329924381593359,-0.342743397172337,0.333333333333333,"G",71,2.84871813362096,3.01434841939335,2.72799849442143,1.55694387146466,74.5528336243904,0.180785256534576,0.304042212311609,7.44858336448669,8.16825008392338,7.40225017070771,4.6666669845581,200.099975585937,0.45895354449749,0.816282510757442,"SP8"
"Alticola lemminus","mammal","Rodentia","Cricetidae",8,"tavg",-0.816641966407849,-1.14665214662812,0.2,"G",72,3.71949485169433,4.98936272660091,2.50437816510452,11.4330728547222,42.6004396450307,3742.01738346118,12709.1083949517,8.43278932571415,11.5070195198059,6.41225004196167,33.8333339691162,112.869995117188,8867.81393247843,28426.8344157934,"SP9"
"Alticola strelzowi","mammal","Rodentia","Cricetidae",10,"tavg",0.0289782929429163,0.028986408456962,0.142857142857143,"G",73,3.68964111761428,3.81784592169513,3.59212892621251,3.09290317696205,107.672096344346,0.155842545533943,0.253328785478443,12.8692498207092,13.5684161484242,12.2854163665324,10.75,358.66000366211,0.498849958181381,0.854451790451999,"SP10"
"Ammospermophilus harrisii","mammal","Rodentia","Sciuridae",41,"tavg",-0.208100546916717,-0.211185089328025,0.0263157894736842,"G",95,2.55713303239617,2.67020784666971,2.95434266839056,16.8038455138657,162.575241525097,0.32317286491801,0.160619783779299,12.0088329315185,12.6381670236588,14.3664989471435,89.75,802.71997070313,1.64372707903385,0.889777123928074,"SP11"
"Ammospermophilus leucurus","mammal","Rodentia","Sciuridae",86,"tavg",-0.0167374837522502,-0.0167390469800073,0.0120481927710843,"G",96,3.87226958364321,4.39036824368446,3.76284079986964,27.3358135482823,178.245297506183,0.371737438878803,0.179611461373187,17.1584997177124,18.8398334980011,18.5769996643066,126.833338260651,856.529968261719,1.93604211509228,0.928642183542253,"SP12"
"Ammospermophilus nelsoni","mammal","Rodentia","Sciuridae",6,"tavg",0.428929158328791,0.458583667234452,0.333333333333333,"G",97,1.41537699378099,2.06404345374906,0.887229596955751,11.3856326134792,94.2268535617638,0.0995542601342064,0.0673608006080952,3.0454998016357,4.03450012207032,2.287748336792,23.8333330154419,199.830078125,0.294459789991379,0.202979147434235,"SP13"
"Anoura geoffroyi","mammal","Chiroptera","Phyllostomidae",14,"tavg",0.140747831178378,0.1416884393839,0.0909090909090909,"Ar",124,4.08454034276699,4.08707609664669,4.34042930871415,45.7943850926338,217.701715104124,0.583231053534189,0.285352343404292,13.6600551605224,15.3498048782349,13.5306625366211,155.5,683.44995117188,2.3729681968689,1.05204004049302,"SP14"
"Anourosorex squamipes","mammal","Eulipotyphla","Soricidae",5,"tavg",0.848595004264045,1.25111141749509,0.5,"G",125,2.24758688649746,2.07610675134294,2.42371569231036,5.74335254894065,77.7561162911258,0.467116554099284,0.0642582028831699,5.8389987945557,5.3079996109009,6.3715839385987,13.666664123535,212.15002441406,1.02575373649597,0.16084802150726,"SP15"
"Antechinus stuartii","mammal","Dasyuromorphia","Dasyuridae",5,"tavg",0.227574781840878,0.231630290384489,0.5,"G",127,2.79137295100611,2.67641413803246,3.04066184547074,21.6837592043779,104.644879995269,1.32220661210824,0.335720830393847,7.4463319778443,6.6140003204346,8.2799987792968,57,238.5,3.62312602996827,0.834457874298094,"SP16"
"Antrozous pallidus","mammal","Chiroptera","Vespertilionidae",42,"tavg",-0.145466412755428,-0.146505686166633,0.0256410256410256,"G",141,3.83403665210919,4.069641993797,3.94349793250027,15.1264374448488,198.544000452752,0.556629396003996,0.312204842463822,14.2919173240662,15.3518149852753,14.4882497787476,72.0000023841857,819.549987792964,2.01783500611783,1.35750615596772,"SP17"
"Aplodontia rufa","mammal","Rodentia","Aplodontiidae",38,"tavg",-0.130749193201612,-0.131501997904124,0.0285714285714286,"G",147,2.21411814174108,2.78199530127336,2.05864391362036,50.7140127751843,99.9729849006957,0.700636052011905,0.50635655494384,8.12623286247249,10.8971638679504,8.95883274078365,210.000011444091,500.139953613281,2.6395320892334,1.62968015670776,"SP18"
"Apodemus agrarius","mammal","Rodentia","Muridae",15,"tavg",0.000949767736261865,0.000949768021844108,0.0833333333333333,"G",151,5.71547093350469,5.56761520113348,6.10853523908884,13.7808890430514,229.298826038913,0.624913997455579,0.531090241324051,17.854416847229,20.8325004577637,18.4668339490891,40.4999980926514,717.999969482417,1.6543590426445,1.41208100318908,"SP19"
"Apodemus draco","mammal","Rodentia","Muridae",6,"tavg",-0.762258749243724,-1.00158437244568,0.333333333333333,"G",152,4.04270441026289,3.76363302214511,4.32652691613709,21.576784752257,133.42397036794,1.10379180389575,0.299265348499625,10.3004159927368,9.70791649818422,10.8932504653931,58.1666641235352,332.659973144536,2.45120847225189,0.738280773162846,"SP20"
"Apodemus pallipes","mammal","Rodentia","Muridae",12,"tavg",0.234081359246178,0.238503091312653,0.111111111111111,"G",153,5.25460146018195,5.60497258333574,4.99395205588401,9.08110923093398,138.157935036589,0.255103076639081,0.284925964738297,15.9280829429626,16.0292501449585,15.9091672897339,26.7500019073486,473.029968261719,0.778230100870128,0.884448707103726,"SP21"
"Apodemus peninsulae","mammal","Rodentia","Muridae",17,"tavg",0.669073518297659,0.809063865477398,0.0714285714285714,"G",154,4.36878166366648,4.61665162600412,4.44052382226964,18.3100719301787,133.001126190554,0.589597820669128,0.533474716111138,13.9077501296997,14.5792503356933,13.8235840797424,48.2500019073486,425.549987792969,1.89927724003791,1.7916042804718,"SP22"
"Apodemus sylvaticus","mammal","Rodentia","Muridae",5,"tavg",0.741636393358034,0.954106242694651,0.5,"G",155,0.694136505786804,0.77304195687703,1.39037243337838,8.70651877205122,155.092925621826,0.186609217992895,0.168015543388435,1.72074985504153,2.01449966430664,3.2625827789307,23.8333320617676,357.149963378906,0.47340142726898,0.427513122558594,"SP23"
"Apodemus uralensis","mammal","Rodentia","Muridae",12,"tavg",0.200369284344633,0.203117254862049,0.111111111111111,"G",156,3.63742294779724,3.95461100167677,3.39293822092034,11.2733175667597,94.790298424615,0.293904995726491,0.393889795950068,11.4475831985474,13.1709164381027,10.0407503843307,34.0833320617676,271.360046386719,0.770624540746212,0.962977066636083,"SP24"
"Arborimus albipes","mammal","Rodentia","Cricetidae",23,"tavg",-0.030773972141138,-0.0307836923654436,0.05,"Ar",163,0.650178383849947,1.0861714099559,0.581786284693873,26.8569244965576,52.4805394295906,0.157815912494683,0.0874789581576496,2.61929178237913,5.3795834183693,2.5568332672119,123.833335876465,182.210021972656,0.71618819236755,0.35820198059082,"SP25"
"Arborimus longicaudus","mammal","Rodentia","Cricetidae",26,"tavg",0.0590534333211751,0.0591222231499951,0.0434782608695652,"Ar",164,1.0227158788523,1.45764365981079,0.951370675890286,27.1086654225157,64.5464253683643,0.21685260571,0.15635017610948,5.74933338165279,7.26091688871384,4.25475025177,103.416664123535,207.650024414062,0.83190369606018,0.54032206535339,"SP26"
"Ardops nichollsi","mammal","Chiroptera","Phyllostomidae",10,"tavg",0.00877583881945821,0.00877606412129332,0.142857142857143,"Ar",169,0.861788879740253,0.881748247564138,0.892139950410972,35.9348708349469,69.1680190023788,0.929030187340047,0.187242439801175,2.5563812255859,2.7638549804688,2.5586910247803,95.41667175293,201.59997558594,2.77026128768921,0.465357124805454,"SP27"
"Artibeus jamaicensis aequatorialis","mammal","Chiroptera","Phyllostomidae",13,"tavg",-0.0587716482299216,-0.0588394566627428,0.1,NA,179,1.23584584496881,1.84334522189165,0.810631007503169,72.8352287415783,90.0489709147382,0.745199270506764,0.166367681538124,4.185417175293,5.7339172363281,3.3414173126221,197.91667175293,276.64001464844,2.9502295255661,0.661957859992981,"SP28"
"Artibeus anderseni","mammal","Chiroptera","Phyllostomidae",5,"tavg",-0.332332826283511,-0.345448441518673,0.5,"Ar",180,1.72996132628595,2.0032942911937,1.74755855527844,48.9343404149154,63.2151317819362,1.49631982713248,0.305257288963684,4.5418338775635,4.9475822448731,4.3698329925537,115.33334350586,131.48999023438,4.20867705345154,0.691501796245573,"SP29"
"Artibeus fimbriatus","mammal","Chiroptera","Phyllostomidae",10,"tavg",0.250522274058632,0.255969981868632,0.142857142857143,"Ar",181,0.932170806999191,1.15192794439822,0.790604844211134,9.12321484382529,39.5684541553329,0.649130590259295,0.187687330905424,2.6148338317871,2.8810834884644,2.3693332672119,24.583335876465,136.4599609375,1.65275382995606,0.531111538410185,"SP30"
"Artibeus fraterculus","mammal","Chiroptera","Phyllostomidae",14,"tavg",-0.34545678905955,-0.360275625013337,0.0909090909090909,"Ar",182,1.1151099752837,1.50319490661471,0.854376821142639,26.2301701957223,56.1139669914633,0.823432534605061,0.162715573811003,3.9956665039062,4.9027881622315,3.3414173126221,79.5,165.32995605469,2.9502295255661,0.660150289535523,"SP31"
"Artibeus lituratus","mammal","Chiroptera","Phyllostomidae",77,"tavg",-0.0623048732423092,-0.0623856819121597,0.0135135135135135,"Ar",184,2.41960565443947,3.13335613368997,2.05316022908283,43.3538676632519,126.288475589749,1.01743332053333,0.318840784733577,11.7795829772949,14.291464805603,12.4468326568604,197.91667175293,651.44006347657,4.36386811733246,1.44576978683472,"SP32"
"Artibeus obscurus","mammal","Chiroptera","Phyllostomidae",13,"tavg",0.114647537706529,0.115153848019901,0.1,"Ar",185,1.78987608872068,2.18907140768907,1.46422961785659,27.5472010528026,78.9663690489741,0.770599682369371,0.235821028388344,6.6643333435059,8.1929998397827,5.6608333587647,111.83334350586,258.92004394531,3.1579225063324,1.02034360170364,"SP33"
"Artibeus phaeotis","mammal","Chiroptera","Phyllostomidae",16,"tavg",0.183206264989805,0.185298304839772,0.0769230769230769,"Ar",186,1.18116841599953,1.48157148480868,1.40246564744148,51.7529789912515,143.852262821839,0.790852958871916,0.190509412465995,4.9544715881347,4.9625015258789,5.7586612701416,201.75,456.06994628906,2.28770160675048,0.701821267604826,"SP34"
"Artibeus planirostris","mammal","Chiroptera","Phyllostomidae",15,"tavg",0.379291526800123,0.399231867790619,0.0833333333333333,NA,187,1.0532350562845,1.51071755842494,0.730806101909557,43.3309098352018,62.0405540706083,1.12799593505399,0.254798621307326,3.2105827331543,4.8897495269775,2.3503322601319,145.750007629395,196.30993652344,3.05953657627106,0.801252663135527,"SP35"
"Artibeus schwartzi","mammal","Chiroptera","Phyllostomidae",12,"tavg",-0.338324581802492,-0.352199333852139,0.111111111111111,NA,188,1.2002909201444,1.28089032863968,1.12146105058909,13.5019550774967,40.3223495058828,0.812556008989211,0.222630843795409,3.3052463531494,3.6622581481934,3.0319442749024,43.16667175293,101.84997558594,2.39541673660278,0.618052721023559,"SP36"
"Artibeus toltecus","mammal","Chiroptera","Phyllostomidae",14,"tavg",-0.176139539090585,-0.177995802548059,0.0909090909090909,"Ar",189,3.47820109885239,3.56987327577382,3.86576241613099,67.606053024465,191.657972013775,0.957543029552988,0.209738458603981,11.1120834350585,13.7521667480468,13.8546657562256,242.916667938232,666.92004394532,3.06911623477936,0.772375643253328,"SP37"
"Artibeus glaucus watsoni","mammal","Chiroptera","Phyllostomidae",12,"tavg",-0.134158257013526,-0.134971941978334,0.111111111111111,"Ar",190,1.8689408020057,1.92904411668392,1.99173731633129,56.9613873732971,69.8712676718913,0.726281443592312,0.245225811496482,5.9910831451416,6.7624998092651,6.3212509155274,189.166664123535,184.10998535156,2.26029253005981,0.680720090866093,"SP38"
"Arvicanthis niloticus","mammal","Rodentia","Muridae",6,"tavg",0.0784262126617355,0.0785875999386293,0.333333333333333,"G",191,2.94982636296334,2.90167633557802,3.18058090127665,16.1172778463736,188.622155903921,0.636385195885904,0.0629939775300081,7.6734161376953,7.5085000991821,8.612585067749,36.8333320617676,519.31005859375,1.36479425430298,0.168072372674942,"SP39"
"Baiomys taylori","mammal","Rodentia","Cricetidae",27,"tavg",-0.202052576782052,-0.20487157281716,0.0416666666666667,"G",216,2.98681397881014,4.06825605827677,2.9598039083973,34.8887194530307,169.077954004251,0.928062942737502,0.334887561896208,11.3254165649414,15.1520824432373,13.0218334197998,112.750005722046,722.9599609375,3.56625533103943,1.28428231179714,"SP40"
"Balantiopteryx plicata","mammal","Chiroptera","Emballonuridae",9,"tavg",0.103725169648703,0.104099579532506,0.166666666666667,"A",217,1.66274399388623,2.82750018451655,1.59422816017199,40.068256024845,102.680434283244,1.10171566982004,0.288417427103605,5.7195835113525,8.3012504577637,4.3632507324219,122.249996185302,322.85998535156,3.39290606975555,0.911709934473041,"SP41"
"Bassariscus astutus","mammal","Carnivora","Procyonidae",23,"tavg",0.133006850416431,0.133799615905747,0.05,"G",226,3.88136123419429,3.96839437803728,3.99419975265858,22.4039330141219,202.31294001557,0.670176998250154,0.469451697865639,16.2652499675751,16.5068330764771,16.0180006027222,83.4166698455812,758.23999023437,2.5051449239254,1.82968360185623,"SP42"
"Blarina brevicauda","mammal","Eulipotyphla","Soricidae",80,"tavg",-0.369387796952349,-0.387713978499916,0.012987012987013,"G",231,2.78415439849535,2.68552320597089,2.98637434630756,17.544856220712,127.390386651402,0.474196703444702,0.481298420173276,12.8973333835601,13.0477499961853,12.7549176216125,101.333332061768,515.69995117188,1.76378482580185,1.53382503986358,"SP43"
"Blarina carolinensis","mammal","Eulipotyphla","Soricidae",5,"tavg",-0.0485223444054628,-0.0485604789162334,0.5,"G",232,4.69296110055942,4.91238082810085,4.56243437997502,8.998764120418,174.828863663592,0.624068842719557,0.570195392197144,11.3449172973633,11.5087494850159,11.5102500915527,24.166664123535,437,1.65341180562973,1.31155163049698,"SP44"
"Blarina hylophaga","mammal","Eulipotyphla","Soricidae",24,"tavg",0.261163961264063,0.267357162536378,0.0476190476190476,"G",233,1.22823786498903,1.23179011731076,1.26551672228677,8.45424137225688,63.3627943639121,0.224331120299166,0.157022887115547,3.5343332290649,3.56191635131836,3.7230834960938,35.6666679382324,185.91003417969,1.1730625629425,0.680889725685116,"SP45"
"Brachyphylla cavernarum","mammal","Chiroptera","Phyllostomidae",25,"tavg",0.232136882635033,0.23644687964596,0.0454545454545455,"Ar",245,0.517114592077809,0.504883901782575,0.643290323556021,38.6014955504236,88.0873907068209,0.918283371605542,0.198886614708885,1.8400821685791,1.7830677032471,2.2933807373047,100.500007629395,309.14001464844,3.65871977806092,0.657533615827564,"SP46"
"Callospermophilus lateralis","mammal","Rodentia","Sciuridae",187,"tavg",0.0877877031545715,0.0880142689928386,0.00543478260869565,NA,295,2.87406765285338,2.78620866299552,3.19900322072522,20.2885518405158,150.748220131162,0.48591257177229,0.38586854190526,17.9854171276092,16.8142495155335,20.7524995803833,134.75,905.830017089841,1.87098672986031,1.8495018929243,"SP47"
