speciesname,BodyMass
Aeorestes cinereus,25.28
Alexandromys middendorffii hyperboreus,36.49
Artibeus glaucus watsoni,11.06
Artibeus jamaicensis aequatorialis,42.17
Artibeus planirostris,54.5
Artibeus schwartzi,42.17
Auliscomys micropus,70.76
Bolomys lasiurus,39.93
Callospermophilus lateralis,191
Callospermophilus saturatus,220
Cryptotis magnus,7
Cryptotis parvus,4.98
Dasypterus ega,13.2
Euryoryzomys nitidus,55.2
Gardnerycteris crenulatum,13.75
Geomys bursarius lutescens,203.75
Handleyomys alfaroi,33.3
Handleyomys melanotis,50
Handleyomys saturatior,54.82
Hsunycteris thomasi,6.85
Ictidomys tridecemlineatus,131.67
Lasiopodomys gregalis,47.5
Macroscelides flavicaudatus,38.2
Macroscelides micus,28
Murexia melanurus,38.02
Myotis aurascens,7.5
Otospermophilus beecheyi,578.5
Otospermophilus variegatus,691.64
Parastrellus hesperus,3.7
Petrosaltator rozeti,48
Sorex rohweri,4.4
Transandinomys bolivaris,60.5
Urocitellus armatus,313
Urocitellus beldingi,280.5
Urocitellus columbianus,493
Urocitellus elegans,453.6
Urocitellus mollis,165.4
Urocitellus parryii,759.99
Urocitellus richardsonii,406
Urocitellus undulatus,840
Xerospermophilus mohavensis,190
Xerospermophilus spilosoma,89
Xerospermophilus tereticaudus,156.5
