"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","Species_ph","SPID"
"Abrothrix longipilis","mammal","Rodentia","Cricetidae",46,"tavg",0.472116207819002,0.512790036392757,0.0232558139534884,"Abrothrix_longipilis","SP1"
"Abrothrix olivaceus","mammal","Rodentia","Cricetidae",64,"tavg",0.440691745074895,0.473088947321954,0.0163934426229508,"Abrothrix_olivaceus","SP2"
"Alces alces","mammal","Artiodactyla","Cervidae",14,"tavg",-0.339362805976837,-0.353372223577681,0.0909090909090909,"Alces_alces","SP3"
"Allactaga balikunica","mammal","Rodentia","Dipodidae",11,"tavg",-0.706431760668521,-0.880024832716962,0.125,"Allactaga_balikunica","SP4"
"Allactaga bullata","mammal","Rodentia","Dipodidae",8,"tavg",-0.199300290055294,-0.202003795632549,0.2,"Allactaga_bullata","SP5"
"Allactaga sibirica","mammal","Rodentia","Dipodidae",26,"tavg",-0.186630443637861,-0.188843722274775,0.0434782608695652,"Allactaga_sibirica","SP6"
"Allocricetulus curtatus","mammal","Rodentia","Cricetidae",6,"tavg",0.443581348528211,0.476680685695395,0.333333333333333,"Allocricetulus_curtatus","SP7"
"Alticola barakshin","mammal","Rodentia","Cricetidae",6,"tavg",-0.329924381593359,-0.342743397172337,0.333333333333333,"Alticola_barakshin","SP8"
"Alticola lemminus","mammal","Rodentia","Cricetidae",8,"tavg",-0.816641966407849,-1.14665214662812,0.2,"Alticola_lemminus","SP9"
"Alticola strelzowi","mammal","Rodentia","Cricetidae",10,"tavg",0.0289782929429163,0.028986408456962,0.142857142857143,"Alticola_strelzowi","SP10"
"Ammospermophilus harrisii","mammal","Rodentia","Sciuridae",41,"tavg",-0.208100546916717,-0.211185089328025,0.0263157894736842,"Ammospermophilus_harrisii","SP11"
"Ammospermophilus leucurus","mammal","Rodentia","Sciuridae",86,"tavg",-0.0167374837522502,-0.0167390469800073,0.0120481927710843,"Ammospermophilus_leucurus","SP12"
"Ammospermophilus nelsoni","mammal","Rodentia","Sciuridae",6,"tavg",0.428929158328791,0.458583667234452,0.333333333333333,"Ammospermophilus_nelsoni","SP13"
"Anoura geoffroyi","mammal","Chiroptera","Phyllostomidae",14,"tavg",0.140747831178378,0.1416884393839,0.0909090909090909,"Anoura_geoffroyi","SP14"
"Anourosorex squamipes","mammal","Insectivora","Soricidae",5,"tavg",0.848595004264045,1.25111141749509,0.5,"Anourosorex_squamipes","SP15"
"Antechinus stuartii","mammal","Dasyuromorphia","Dasyuridae",5,"tavg",0.227574781840878,0.231630290384489,0.5,"Antechinus_stuartii","SP16"
"Antrozous pallidus","mammal","Chiroptera","Vespertilionidae",42,"tavg",-0.145466412755428,-0.146505686166633,0.0256410256410256,"Antrozous_pallidus","SP17"
"Aplodontia rufa","mammal","Rodentia","Aplodontiidae",38,"tavg",-0.130749193201612,-0.131501997904124,0.0285714285714286,"Aplodontia_rufa","SP18"
"Apodemus agrarius","mammal","Rodentia","Muridae",15,"tavg",0.000949767736261865,0.000949768021844108,0.0833333333333333,"Apodemus_agrarius","SP19"
"Apodemus draco","mammal","Rodentia","Muridae",6,"tavg",-0.762258749243724,-1.00158437244568,0.333333333333333,"Apodemus_draco","SP20"
"Apodemus pallipes","mammal","Rodentia","Muridae",12,"tavg",0.234081359246178,0.238503091312653,0.111111111111111,"Apodemus_pallipes","SP21"
"Apodemus peninsulae","mammal","Rodentia","Muridae",17,"tavg",0.669073518297659,0.809063865477398,0.0714285714285714,"Apodemus_peninsulae","SP22"
"Apodemus sylvaticus","mammal","Rodentia","Muridae",5,"tavg",0.741636393358034,0.954106242694651,0.5,"Apodemus_sylvaticus","SP23"
"Apodemus uralensis","mammal","Rodentia","Muridae",12,"tavg",0.200369284344633,0.203117254862049,0.111111111111111,"Apodemus_uralensis","SP24"
"Arborimus albipes","mammal","Rodentia","Cricetidae",23,"tavg",-0.030773972141138,-0.0307836923654436,0.05,"Arborimus_albipes","SP25"
"Arborimus longicaudus","mammal","Rodentia","Cricetidae",26,"tavg",0.0590534333211751,0.0591222231499951,0.0434782608695652,"Arborimus_longicaudus","SP26"
"Ardops nichollsi","mammal","Chiroptera","Phyllostomidae",10,"tavg",0.00877583881945821,0.00877606412129332,0.142857142857143,"Ardops_nichollsi","SP27"
"Artibeus anderseni","mammal","Chiroptera","Phyllostomidae",5,"tavg",-0.332332826283511,-0.345448441518673,0.5,"Artibeus_anderseni","SP28"
"Artibeus fimbriatus","mammal","Chiroptera","Phyllostomidae",10,"tavg",0.250522274058632,0.255969981868632,0.142857142857143,"Artibeus_fimbriatus","SP29"
"Artibeus fraterculus","mammal","Chiroptera","Phyllostomidae",14,"tavg",-0.34545678905955,-0.360275625013337,0.0909090909090909,"Artibeus_fraterculus","SP30"
"Artibeus jamaicensis","mammal","Chiroptera","Phyllostomidae",78,"tavg",-0.195371923978041,-0.197916248052662,0.0133333333333333,"Artibeus_jamaicensis","SP31"
"Artibeus lituratus","mammal","Chiroptera","Phyllostomidae",77,"tavg",-0.0623048732423092,-0.0623856819121597,0.0135135135135135,"Artibeus_lituratus","SP32"
"Artibeus obscurus","mammal","Chiroptera","Phyllostomidae",13,"tavg",0.114647537706529,0.115153848019901,0.1,"Artibeus_obscurus","SP33"
"Artibeus phaeotis","mammal","Chiroptera","Phyllostomidae",16,"tavg",0.183206264989805,0.185298304839772,0.0769230769230769,"Artibeus_phaeotis","SP34"
"Artibeus toltecus","mammal","Chiroptera","Phyllostomidae",14,"tavg",-0.176139539090585,-0.177995802548059,0.0909090909090909,"Artibeus_toltecus","SP35"
"Artibeus watsoni","mammal","Chiroptera","Phyllostomidae",12,"tavg",-0.134158257013526,-0.134971941978334,0.111111111111111,"Artibeus_watsoni","SP36"
"Arvicanthis niloticus","mammal","Rodentia","Muridae",6,"tavg",0.0784262126617355,0.0785875999386293,0.333333333333333,"Arvicanthis_niloticus","SP37"
"Baiomys taylori","mammal","Rodentia","Cricetidae",27,"tavg",-0.202052576782052,-0.20487157281716,0.0416666666666667,"Baiomys_taylori","SP38"
"Balantiopteryx plicata","mammal","Chiroptera","Emballonuridae",9,"tavg",0.103725169648703,0.104099579532506,0.166666666666667,"Balantiopteryx_plicata","SP39"
"Bassariscus astutus","mammal","Carnivora","Procyonidae",23,"tavg",0.133006850416431,0.133799615905747,0.05,"Bassariscus_astutus","SP40"
"Blarina brevicauda","mammal","Eulipotyphla","Soricidae",80,"tavg",-0.369387796952349,-0.387713978499916,0.012987012987013,"Blarina_brevicauda","SP41"
"Blarina carolinensis","mammal","Eulipotyphla","Soricidae",5,"tavg",-0.0485223444054628,-0.0485604789162334,0.5,"Blarina_carolinensis","SP42"
"Blarina hylophaga","mammal","Eulipotyphla","Soricidae",24,"tavg",0.261163961264063,0.267357162536378,0.0476190476190476,"Blarina_hylophaga","SP43"
"Brachyphylla cavernarum","mammal","Chiroptera","Phyllostomidae",25,"tavg",0.232136882635033,0.23644687964596,0.0454545454545455,"Brachyphylla_cavernarum","SP44"
"Calomys callosus","mammal","Rodentia","Cricetidae",7,"tavg",-0.436276594892089,-0.467622815579221,0.25,"Calomys_callosus","SP45"
