"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","sd.tavg","sd.tmax","sd.npp","sd.npp.sd","rng.tavg","rng.tmax","rng.npp","rng.npp.sd","SPID","Mig_status"
"Abrothrix longipilis","mammal","Rodentia","Cricetidae",46,"tavg",0.472116207819002,0.512790036392757,0.0232558139534884,2.88795958426612,3.32607239760629,1.01766595814899,0.564382923876781,11.8150835037231,14.0209159851074,3.73317056894303,2.13583338260651,"SP1",0
"Abrothrix olivaceus","mammal","Rodentia","Cricetidae",64,"tavg",0.440691745074895,0.473088947321954,0.0163934426229508,3.87904943248845,4.42413235363643,1.17184267621193,0.700570125178434,19.7645839452743,21.105583190918,4.27095633745194,2.34362794458866,"SP2",0
"Alces alces","mammal","Artiodactyla","Cervidae",14,"tavg",-0.339362805976837,-0.353372223577681,0.0909090909090909,0.905292391026017,1.03915002105403,2108.12932914486,7281.07487178833,3.02841663360596,3.18708354234695,7888.32253712416,27243.8871095181,"SP3",1
"Allactaga balikunica","mammal","Rodentia","Dipodidae",11,"tavg",-0.706431760668521,-0.880024832716962,0.125,3.04368154699323,3.26806343725797,0.0255394118842238,0.0387290404665054,11.302083492279,11.7864997386933,0.081937663257122,0.1307073533535,"SP4",0
"Allactaga bullata","mammal","Rodentia","Dipodidae",8,"tavg",-0.199300290055294,-0.202003795632549,0.2,3.30204669866568,3.40921359823389,0.0861836028270642,0.143206916379209,7.49724984169007,7.2931666374207,0.27563001960516,0.432494267821312,"SP5",0
"Allactaga sibirica","mammal","Rodentia","Dipodidae",26,"tavg",-0.186630443637861,-0.188843722274775,0.0434782608695652,2.95506187488203,3.09772546174968,0.135068522427355,0.196604066823746,10.5575833320618,10.9183329939843,0.603078030049801,0.882732138037681,"SP6",0
"Allocricetulus curtatus","mammal","Rodentia","Cricetidae",6,"tavg",0.443581348528211,0.476680685695395,0.333333333333333,4.13468639280301,4.45946184805338,0.0795834061357752,0.159574373216421,10.7283334732056,11.59566664882,0.245352439582348,0.464368328452111,"SP7",0
"Alticola barakshin","mammal","Rodentia","Cricetidae",6,"tavg",-0.329924381593359,-0.342743397172337,0.333333333333333,2.84871813362096,2.72799849442143,0.180785256534576,0.304042212311609,7.44858336448669,7.40225017070771,0.45895354449749,0.816282510757442,"SP8",0
"Alticola lemminus","mammal","Rodentia","Cricetidae",8,"tavg",-0.816641966407849,-1.14665214662812,0.2,3.71949485169433,2.50437816510452,3742.01738346118,12709.1083949517,8.43278932571415,6.41225004196167,8867.81393247843,28426.8344157934,"SP9",0
"Alticola strelzowi","mammal","Rodentia","Cricetidae",10,"tavg",0.0289782929429163,0.028986408456962,0.142857142857143,3.68964111761428,3.59212892621251,0.155842545533943,0.253328785478443,12.8692498207092,12.2854163665324,0.498849958181381,0.854451790451999,"SP10",0
"Ammospermophilus harrisii","mammal","Rodentia","Sciuridae",41,"tavg",-0.208100546916717,-0.211185089328025,0.0263157894736842,2.55713303239617,2.95434266839056,0.32317286491801,0.160619783779299,12.0088329315185,14.3664989471435,1.64372707903385,0.889777123928074,"SP11",0
"Ammospermophilus leucurus","mammal","Rodentia","Sciuridae",86,"tavg",-0.0167374837522502,-0.0167390469800073,0.0120481927710843,3.87226958364321,3.76284079986964,0.371737438878803,0.179611461373187,17.1584997177124,18.5769996643066,1.93604211509228,0.928642183542253,"SP12",0
"Ammospermophilus nelsoni","mammal","Rodentia","Sciuridae",6,"tavg",0.428929158328791,0.458583667234452,0.333333333333333,1.41537699378099,0.887229596955751,0.0995542601342064,0.0673608006080952,3.0454998016357,2.287748336792,0.294459789991379,0.202979147434235,"SP13",0
"Anoura geoffroyi","mammal","Chiroptera","Phyllostomidae",14,"tavg",0.140747831178378,0.1416884393839,0.0909090909090909,4.08454034276699,4.34042930871415,0.583231053534189,0.285352343404292,13.6600551605224,13.5306625366211,2.3729681968689,1.05204004049302,"SP14",1
"Anourosorex squamipes","mammal","Eulipotyphla","Soricidae",5,"tavg",0.848595004264045,1.25111141749509,0.5,2.24758688649746,2.42371569231036,0.467116554099284,0.0642582028831699,5.8389987945557,6.3715839385987,1.02575373649597,0.16084802150726,"SP15",0
"Antechinus stuartii","mammal","Dasyuromorphia","Dasyuridae",5,"tavg",0.227574781840878,0.231630290384489,0.5,2.79137295100611,3.04066184547074,1.32220661210824,0.335720830393847,7.4463319778443,8.2799987792968,3.62312602996827,0.834457874298094,"SP16",0
"Antrozous pallidus","mammal","Chiroptera","Vespertilionidae",42,"tavg",-0.145466412755428,-0.146505686166633,0.0256410256410256,3.83403665210919,3.94349793250027,0.556629396003996,0.312204842463822,14.2919173240662,14.4882497787476,2.01783500611783,1.35750615596772,"SP17",1
"Aplodontia rufa","mammal","Rodentia","Aplodontiidae",38,"tavg",-0.130749193201612,-0.131501997904124,0.0285714285714286,2.21411814174108,2.05864391362036,0.700636052011905,0.50635655494384,8.12623286247249,8.95883274078365,2.6395320892334,1.62968015670776,"SP18",0
"Apodemus agrarius","mammal","Rodentia","Muridae",15,"tavg",0.000949767736261865,0.000949768021844108,0.0833333333333333,5.71547093350469,6.10853523908884,0.624913997455579,0.531090241324051,17.854416847229,18.4668339490891,1.6543590426445,1.41208100318908,"SP19",0
"Apodemus draco","mammal","Rodentia","Muridae",6,"tavg",-0.762258749243724,-1.00158437244568,0.333333333333333,4.04270441026289,4.32652691613709,1.10379180389575,0.299265348499625,10.3004159927368,10.8932504653931,2.45120847225189,0.738280773162846,"SP20",0
"Apodemus pallipes","mammal","Rodentia","Muridae",12,"tavg",0.234081359246178,0.238503091312653,0.111111111111111,5.25460146018195,4.99395205588401,0.255103076639081,0.284925964738297,15.9280829429626,15.9091672897339,0.778230100870128,0.884448707103726,"SP21",0
"Apodemus peninsulae","mammal","Rodentia","Muridae",17,"tavg",0.669073518297659,0.809063865477398,0.0714285714285714,4.36878166366648,4.44052382226964,0.589597820669128,0.533474716111138,13.9077501296997,13.8235840797424,1.89927724003791,1.7916042804718,"SP22",0
"Apodemus sylvaticus","mammal","Rodentia","Muridae",5,"tavg",0.741636393358034,0.954106242694651,0.5,0.694136505786804,1.39037243337838,0.186609217992895,0.168015543388435,1.72074985504153,3.2625827789307,0.47340142726898,0.427513122558594,"SP23",0
"Apodemus uralensis","mammal","Rodentia","Muridae",12,"tavg",0.200369284344633,0.203117254862049,0.111111111111111,3.63742294779724,3.39293822092034,0.293904995726491,0.393889795950068,11.4475831985474,10.0407503843307,0.770624540746212,0.962977066636083,"SP24",0
"Arborimus albipes","mammal","Rodentia","Cricetidae",23,"tavg",-0.030773972141138,-0.0307836923654436,0.05,0.650178383849947,0.581786284693873,0.157815912494683,0.0874789581576496,2.61929178237913,2.5568332672119,0.71618819236755,0.35820198059082,"SP25",0
"Arborimus longicaudus","mammal","Rodentia","Cricetidae",26,"tavg",0.0590534333211751,0.0591222231499951,0.0434782608695652,1.0227158788523,0.951370675890286,0.21685260571,0.15635017610948,5.74933338165279,4.25475025177,0.83190369606018,0.54032206535339,"SP26",0
"Ardops nichollsi","mammal","Chiroptera","Phyllostomidae",10,"tavg",0.00877583881945821,0.00877606412129332,0.142857142857143,0.861788879740253,0.892139950410972,0.929030187340047,0.187242439801175,2.5563812255859,2.5586910247803,2.77026128768921,0.465357124805454,"SP27",1
"Artibeus jamaicensis aequatorialis","mammal","Chiroptera","Phyllostomidae",13,"tavg",-0.0587716482299216,-0.0588394566627428,0.1,1.23584584496881,0.810631007503169,0.745199270506764,0.166367681538124,4.185417175293,3.3414173126221,2.9502295255661,0.661957859992981,"SP28",1
"Artibeus anderseni","mammal","Chiroptera","Phyllostomidae",5,"tavg",-0.332332826283511,-0.345448441518673,0.5,1.72996132628595,1.74755855527844,1.49631982713248,0.305257288963684,4.5418338775635,4.3698329925537,4.20867705345154,0.691501796245573,"SP29",1
"Artibeus fimbriatus","mammal","Chiroptera","Phyllostomidae",10,"tavg",0.250522274058632,0.255969981868632,0.142857142857143,0.932170806999191,0.790604844211134,0.649130590259295,0.187687330905424,2.6148338317871,2.3693332672119,1.65275382995606,0.531111538410185,"SP30",1
"Artibeus fraterculus","mammal","Chiroptera","Phyllostomidae",14,"tavg",-0.34545678905955,-0.360275625013337,0.0909090909090909,1.1151099752837,0.854376821142639,0.823432534605061,0.162715573811003,3.9956665039062,3.3414173126221,2.9502295255661,0.660150289535523,"SP31",1
"Artibeus lituratus","mammal","Chiroptera","Phyllostomidae",77,"tavg",-0.0623048732423092,-0.0623856819121597,0.0135135135135135,2.41960565443947,2.05316022908283,1.01743332053333,0.318840784733577,11.7795829772949,12.4468326568604,4.36386811733246,1.44576978683472,"SP32",1
"Artibeus obscurus","mammal","Chiroptera","Phyllostomidae",13,"tavg",0.114647537706529,0.115153848019901,0.1,1.78987608872068,1.46422961785659,0.770599682369371,0.235821028388344,6.6643333435059,5.6608333587647,3.1579225063324,1.02034360170364,"SP33",1
"Artibeus phaeotis","mammal","Chiroptera","Phyllostomidae",16,"tavg",0.183206264989805,0.185298304839772,0.0769230769230769,1.18116841599953,1.40246564744148,0.790852958871916,0.190509412465995,4.9544715881347,5.7586612701416,2.28770160675048,0.701821267604826,"SP34",1
"Artibeus planirostris","mammal","Chiroptera","Phyllostomidae",15,"tavg",0.379291526800123,0.399231867790619,0.0833333333333333,1.0532350562845,0.730806101909557,1.12799593505399,0.254798621307326,3.2105827331543,2.3503322601319,3.05953657627106,0.801252663135527,"SP35",1
"Artibeus schwartzi","mammal","Chiroptera","Phyllostomidae",12,"tavg",-0.338324581802492,-0.352199333852139,0.111111111111111,1.2002909201444,1.12146105058909,0.812556008989211,0.222630843795409,3.3052463531494,3.0319442749024,2.39541673660278,0.618052721023559,"SP36",1
"Artibeus toltecus","mammal","Chiroptera","Phyllostomidae",14,"tavg",-0.176139539090585,-0.177995802548059,0.0909090909090909,3.47820109885239,3.86576241613099,0.957543029552988,0.209738458603981,11.1120834350585,13.8546657562256,3.06911623477936,0.772375643253328,"SP37",1
"Artibeus glaucus watsoni","mammal","Chiroptera","Phyllostomidae",12,"tavg",-0.134158257013526,-0.134971941978334,0.111111111111111,1.8689408020057,1.99173731633129,0.726281443592312,0.245225811496482,5.9910831451416,6.3212509155274,2.26029253005981,0.680720090866093,"SP38",0
"Arvicanthis niloticus","mammal","Rodentia","Muridae",6,"tavg",0.0784262126617355,0.0785875999386293,0.333333333333333,2.94982636296334,3.18058090127665,0.636385195885904,0.0629939775300081,7.6734161376953,8.612585067749,1.36479425430298,0.168072372674942,"SP39",0
"Baiomys taylori","mammal","Rodentia","Cricetidae",27,"tavg",-0.202052576782052,-0.20487157281716,0.0416666666666667,2.98681397881014,2.9598039083973,0.928062942737502,0.334887561896208,11.3254165649414,13.0218334197998,3.56625533103943,1.28428231179714,"SP40",0
"Balantiopteryx plicata","mammal","Chiroptera","Emballonuridae",9,"tavg",0.103725169648703,0.104099579532506,0.166666666666667,1.66274399388623,1.59422816017199,1.10171566982004,0.288417427103605,5.7195835113525,4.3632507324219,3.39290606975555,0.911709934473041,"SP41",1
"Bassariscus astutus","mammal","Carnivora","Procyonidae",23,"tavg",0.133006850416431,0.133799615905747,0.05,3.88136123419429,3.99419975265858,0.670176998250154,0.469451697865639,16.2652499675751,16.0180006027222,2.5051449239254,1.82968360185623,"SP42",0
"Blarina brevicauda","mammal","Eulipotyphla","Soricidae",80,"tavg",-0.369387796952349,-0.387713978499916,0.012987012987013,2.78415439849535,2.98637434630756,0.474196703444702,0.481298420173276,12.8973333835601,12.7549176216125,1.76378482580185,1.53382503986358,"SP43",0
"Blarina carolinensis","mammal","Eulipotyphla","Soricidae",5,"tavg",-0.0485223444054628,-0.0485604789162334,0.5,4.69296110055942,4.56243437997502,0.624068842719557,0.570195392197144,11.3449172973633,11.5102500915527,1.65341180562973,1.31155163049698,"SP44",0
"Blarina hylophaga","mammal","Eulipotyphla","Soricidae",24,"tavg",0.261163961264063,0.267357162536378,0.0476190476190476,1.22823786498903,1.26551672228677,0.224331120299166,0.157022887115547,3.5343332290649,3.7230834960938,1.1730625629425,0.680889725685116,"SP45",0
"Brachyphylla cavernarum","mammal","Chiroptera","Phyllostomidae",25,"tavg",0.232136882635033,0.23644687964596,0.0454545454545455,0.517114592077809,0.643290323556021,0.918283371605542,0.198886614708885,1.8400821685791,2.2933807373047,3.65871977806092,0.657533615827564,"SP46",1
"Callospermophilus lateralis","mammal","Rodentia","Sciuridae",187,"tavg",0.0877877031545715,0.0880142689928386,0.00543478260869565,2.87406765285338,3.19900322072522,0.48591257177229,0.38586854190526,17.9854171276092,20.7524995803833,1.87098672986031,1.8495018929243,"SP47",0
"Calomys callosus","mammal","Rodentia","Cricetidae",7,"tavg",-0.436276594892089,-0.467622815579221,0.25,4.78889648528495,4.49525133315541,0.742136275408146,0.482140138374483,13.5817499160766,12.6535835266113,2.3884294629097,1.39403969049453,"SP48",0
"Canis latrans","mammal","Carnivora","Canidae",54,"tavg",0.036230262200032,0.0362461270293415,0.0196078431372549,5.46766597780586,6.23341140459081,2501.96124543262,8642.14371974902,21.6529173851013,24.7088341712951,7888.64658781886,27244.3078812063,"SP49",0
"Canis lupus","mammal","Carnivora","Canidae",99,"tavg",-0.516691526482504,-0.57181575145396,0.0104166666666667,6.6070477905007,7.14470759171256,4856.81084495762,12647.9041524436,32.5151662826538,35.7862486839294,16265.7397821397,38262.7723522633,"SP50",0
"Cardiocranius paradoxus","mammal","Rodentia","Dipodidae",7,"tavg",0.00809018446623406,0.00809036097694866,0.25,1.92106166146237,2.37153675840509,0.0188267452277934,0.0185473419405574,4.99925011396408,6.02299976348881,0.05573920160532,0.056480377912522,"SP51",0
"Carollia brevicauda","mammal","Chiroptera","Phyllostomidae",35,"tavg",0.0202340198714751,0.0202367819241965,0.03125,1.11858177014473,1.10508896193947,1.02838411676907,0.293452231718766,5.0793342590332,5.5675830841065,3.58561164140701,1.18896600604057,"SP52",1
"Carollia castanea","mammal","Chiroptera","Phyllostomidae",14,"tavg",0.156933722774089,0.15824143314157,0.0909090909090909,1.24701315452212,1.18718567961563,0.720302200381908,0.273255452176552,4.4452495574951,5.0853328704834,2.31768989562988,1.0828486084938,"SP53",1
"Carollia perspicillata","mammal","Chiroptera","Phyllostomidae",47,"tavg",-0.0171405091875787,-0.017142188093918,0.0227272727272727,1.72635917594806,1.29211796383363,0.916804458731006,0.265302818303557,7.3223323822021,5.8658332824707,3.49855530261993,1.07425260543823,"SP54",1
"Carollia sowelli","mammal","Chiroptera","Phyllostomidae",14,"tavg",0.159861803492544,0.161244872062922,0.0909090909090909,2.97332368809648,2.95868102804105,0.481300789453936,0.197437585117472,9.2136764526367,9.6779155731201,1.79673361778259,0.611655533313748,"SP55",1
"Carollia subrufa","mammal","Chiroptera","Phyllostomidae",7,"tavg",0.594702973761536,0.684911289054502,0.25,2.67275382354093,2.30678157020374,0.256843809908748,0.116682838753383,7.9559993743896,7.2122497558594,0.74832105636596,0.354028433561325,"SP56",1
"Castor canadensis","mammal","Rodentia","Castoridae",37,"tavg",0.155136485960007,0.1563993465859,0.0294117647058824,6.37016525382499,7.29803124971753,3131.92150350027,10817.3147064557,21.6578335762024,23.3441669940948,7888.66752386093,27244.3251318187,"SP57",0
"Centurio senex","mammal","Chiroptera","Phyllostomidae",7,"tavg",0.616532202619516,0.719391435604983,0.25,2.39147245895302,1.87333889830415,0.649790726044935,0.136596843076708,6.4072494506836,4.8937511444092,1.61042308807373,0.407611787319179,"SP58",1
"Chaerephon pumilus","mammal","Chiroptera","Molossidae",15,"tavg",0.593277970426353,0.682709405765154,0.0833333333333333,2.55812015807269,2.4585752688891,0.848290920433439,0.136614798157717,8.1853218078614,9.0070838928222,3.52587234973907,0.484018415212632,"SP59",1
"Chaetodipus arenarius","mammal","Rodentia","Heteromyidae",19,"tavg",0.4818166641254,0.525347489942658,0.0625,2.77566244590294,4.58178901060942,0.622251892818964,0.266719962529898,9.467185974121,12.9445838928223,1.72053293883801,0.741165578365325,"SP60",0
"Chaetodipus baileyi","mammal","Rodentia","Heteromyidae",105,"tavg",-0.214935745729332,-0.218340451598037,0.00980392156862745,3.39321872741171,4.21095350443077,0.489987527316098,0.293337178856245,15.7721586227417,19.23574924469,2.29942578123882,1.53762570023537,"SP61",0
"Chaetodipus californicus","mammal","Rodentia","Heteromyidae",52,"tavg",0.0441278947896502,0.0441565712930578,0.0204081632653061,1.96449662440089,2.26976966389273,0.710280696245642,0.305728701717965,8.19133281707762,9.2680835723877,2.89255595207214,1.34242689609527,"SP62",0
"Chaetodipus dalquesti","mammal","Rodentia","Heteromyidae",6,"tavg",0.559572625017586,0.632210771055381,0.333333333333333,2.26862801246975,3.81803107099224,0.50834580510551,0.287328073162739,5.3432502746582,9.6066932678222,1.3005810379982,0.671856850385665,"SP63",0
"Chaetodipus eremicus","mammal","Rodentia","Heteromyidae",31,"tavg",-0.475602163184871,-0.517285402438297,0.0357142857142857,3.6940792553639,4.8322663737466,0.692357457098025,0.349900883626013,17.6330842971802,20.9052495956421,2.67958635091782,1.33869598805905,"SP64",0
"Chaetodipus fallax","mammal","Rodentia","Heteromyidae",20,"tavg",-0.0939901065573552,-0.0942683568384192,0.0588235294117647,1.79394457274796,3.16683089238258,0.472029477011075,0.203815470595034,9.8215837478637,14.5773315429688,1.49066799879075,0.660537078976631,"SP65",0
