"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","sd.tavg","sd.tmax","sd.npp","sd.npp.sd","rng.tavg","rng.tmax","rng.npp","rng.npp.sd","SPID","Mig_status"
"Abrothrix longipilis","mammal","Rodentia","Cricetidae",46,"tavg",0.472116207819002,0.512790036392757,0.0232558139534884,2.88795958426612,3.32607239760629,1.01766595814899,0.564382923876781,11.8150835037231,14.0209159851074,3.73317056894303,2.13583338260651,"SP1",NA
"Allactaga balikunica","mammal","Rodentia","Dipodidae",11,"tavg",-0.706431760668521,-0.880024832716962,0.125,3.04368154699323,3.26806343725797,0.0255394118842238,0.0387290404665054,11.302083492279,11.7864997386933,0.081937663257122,0.1307073533535,"SP4",NA
"Allactaga bullata","mammal","Rodentia","Dipodidae",8,"tavg",-0.199300290055294,-0.202003795632549,0.2,3.30204669866568,3.40921359823389,0.0861836028270642,0.143206916379209,7.49724984169007,7.2931666374207,0.27563001960516,0.432494267821312,"SP5",NA
"Allactaga sibirica","mammal","Rodentia","Dipodidae",26,"tavg",-0.186630443637861,-0.188843722274775,0.0434782608695652,2.95506187488203,3.09772546174968,0.135068522427355,0.196604066823746,10.5575833320618,10.9183329939843,0.603078030049801,0.882732138037681,"SP6",NA
"Allocricetulus curtatus","mammal","Rodentia","Cricetidae",6,"tavg",0.443581348528211,0.476680685695395,0.333333333333333,4.13468639280301,4.45946184805338,0.0795834061357752,0.159574373216421,10.7283334732056,11.59566664882,0.245352439582348,0.464368328452111,"SP7",NA
"Alticola barakshin","mammal","Rodentia","Cricetidae",6,"tavg",-0.329924381593359,-0.342743397172337,0.333333333333333,2.84871813362096,2.72799849442143,0.180785256534576,0.304042212311609,7.44858336448669,7.40225017070771,0.45895354449749,0.816282510757442,"SP8",NA
"Alticola lemminus","mammal","Rodentia","Cricetidae",8,"tavg",-0.816641966407849,-1.14665214662812,0.2,3.71949485169433,2.50437816510452,3742.01738346118,12709.1083949517,8.43278932571415,6.41225004196167,8867.81393247843,28426.8344157934,"SP9",NA
"Alticola strelzowi","mammal","Rodentia","Cricetidae",10,"tavg",0.0289782929429163,0.028986408456962,0.142857142857143,3.68964111761428,3.59212892621251,0.155842545533943,0.253328785478443,12.8692498207092,12.2854163665324,0.498849958181381,0.854451790451999,"SP10",NA
"Ammospermophilus harrisii","mammal","Rodentia","Sciuridae",41,"tavg",-0.208100546916717,-0.211185089328025,0.0263157894736842,2.55713303239617,2.95434266839056,0.32317286491801,0.160619783779299,12.0088329315185,14.3664989471435,1.64372707903385,0.889777123928074,"SP11",NA
"Anourosorex squamipes","mammal","Eulipotyphla","Soricidae",5,"tavg",0.848595004264045,1.25111141749509,0.5,2.24758688649746,2.42371569231036,0.467116554099284,0.0642582028831699,5.8389987945557,6.3715839385987,1.02575373649597,0.16084802150726,"SP15",NA
"Apodemus pallipes","mammal","Rodentia","Muridae",12,"tavg",0.234081359246178,0.238503091312653,0.111111111111111,5.25460146018195,4.99395205588401,0.255103076639081,0.284925964738297,15.9280829429626,15.9091672897339,0.778230100870128,0.884448707103726,"SP21",NA
"Apodemus peninsulae","mammal","Rodentia","Muridae",17,"tavg",0.669073518297659,0.809063865477398,0.0714285714285714,4.36878166366648,4.44052382226964,0.589597820669128,0.533474716111138,13.9077501296997,13.8235840797424,1.89927724003791,1.7916042804718,"SP22",NA
"Apodemus uralensis","mammal","Rodentia","Muridae",12,"tavg",0.200369284344633,0.203117254862049,0.111111111111111,3.63742294779724,3.39293822092034,0.293904995726491,0.393889795950068,11.4475831985474,10.0407503843307,0.770624540746212,0.962977066636083,"SP24",NA
"Arborimus albipes","mammal","Rodentia","Cricetidae",23,"tavg",-0.030773972141138,-0.0307836923654436,0.05,0.650178383849947,0.581786284693873,0.157815912494683,0.0874789581576496,2.61929178237913,2.5568332672119,0.71618819236755,0.35820198059082,"SP25",NA
"Artibeus glaucus watsoni","mammal","Chiroptera","Phyllostomidae",12,"tavg",-0.134158257013526,-0.134971941978334,0.111111111111111,1.8689408020057,1.99173731633129,0.726281443592312,0.245225811496482,5.9910831451416,6.3212509155274,2.26029253005981,0.680720090866093,"SP38",NA
"Bassariscus astutus","mammal","Carnivora","Procyonidae",23,"tavg",0.133006850416431,0.133799615905747,0.05,3.88136123419429,3.99419975265858,0.670176998250154,0.469451697865639,16.2652499675751,16.0180006027222,2.5051449239254,1.82968360185623,"SP42",NA
"Blarina hylophaga","mammal","Eulipotyphla","Soricidae",24,"tavg",0.261163961264063,0.267357162536378,0.0476190476190476,1.22823786498903,1.26551672228677,0.224331120299166,0.157022887115547,3.5343332290649,3.7230834960938,1.1730625629425,0.680889725685116,"SP45",NA
"Callospermophilus lateralis","mammal","Rodentia","Sciuridae",187,"tavg",0.0877877031545715,0.0880142689928386,0.00543478260869565,2.87406765285338,3.19900322072522,0.48591257177229,0.38586854190526,17.9854171276092,20.7524995803833,1.87098672986031,1.8495018929243,"SP47",NA
"Calomys callosus","mammal","Rodentia","Cricetidae",7,"tavg",-0.436276594892089,-0.467622815579221,0.25,4.78889648528495,4.49525133315541,0.742136275408146,0.482140138374483,13.5817499160766,12.6535835266113,2.3884294629097,1.39403969049453,"SP48",NA
"Castor canadensis","mammal","Rodentia","Castoridae",37,"tavg",0.155136485960007,0.1563993465859,0.0294117647058824,6.37016525382499,7.29803124971753,3131.92150350027,10817.3147064557,21.6578335762024,23.3441669940948,7888.66752386093,27244.3251318187,"SP57",NA
"Chaetodipus arenarius","mammal","Rodentia","Heteromyidae",19,"tavg",0.4818166641254,0.525347489942658,0.0625,2.77566244590294,4.58178901060942,0.622251892818964,0.266719962529898,9.467185974121,12.9445838928223,1.72053293883801,0.741165578365325,"SP60",NA
"Chaetodipus baileyi","mammal","Rodentia","Heteromyidae",105,"tavg",-0.214935745729332,-0.218340451598037,0.00980392156862745,3.39321872741171,4.21095350443077,0.489987527316098,0.293337178856245,15.7721586227417,19.23574924469,2.29942578123882,1.53762570023537,"SP61",NA
"Chaetodipus californicus","mammal","Rodentia","Heteromyidae",52,"tavg",0.0441278947896502,0.0441565712930578,0.0204081632653061,1.96449662440089,2.26976966389273,0.710280696245642,0.305728701717965,8.19133281707762,9.2680835723877,2.89255595207214,1.34242689609527,"SP62",NA
"Chaetodipus dalquesti","mammal","Rodentia","Heteromyidae",6,"tavg",0.559572625017586,0.632210771055381,0.333333333333333,2.26862801246975,3.81803107099224,0.50834580510551,0.287328073162739,5.3432502746582,9.6066932678222,1.3005810379982,0.671856850385665,"SP63",NA
"Chaetodipus eremicus","mammal","Rodentia","Heteromyidae",31,"tavg",-0.475602163184871,-0.517285402438297,0.0357142857142857,3.6940792553639,4.8322663737466,0.692357457098025,0.349900883626013,17.6330842971802,20.9052495956421,2.67958635091782,1.33869598805905,"SP64",NA
"Chaetodipus fallax","mammal","Rodentia","Heteromyidae",20,"tavg",-0.0939901065573552,-0.0942683568384192,0.0588235294117647,1.79394457274796,3.16683089238258,0.472029477011075,0.203815470595034,9.8215837478637,14.5773315429688,1.49066799879075,0.660537078976631,"SP65",NA
