type_species,Species,Author,Subspecies,Order,Family,change,sp#
,Ablepharus alaicus,(ELPATJEVSKY 1901),"Ablepharus alaicus kucenkoi NIKOLSKY 1902
Ablepharus alaicus alaicus ELPATJEVSKY 1901
Ablepharus alaicus yakovlevae EREMCHENKO 1983",Sauria,Scincidae,new genus (was: Asymblepharus),11256
,Ablepharus anatolicus,SCHMIDTLER 1997,,Sauria,Scincidae,,23791
,Ablepharus bivittatus,(MENETRIES 1832),,Sauria,Scincidae,,10001
,Ablepharus budaki,"GÖCMEN, KUMLUTAS & TOSUNOGLU 1996",,Sauria,Scincidae,,10002
,Ablepharus chernovi,DAREVSKY 1953,"Ablepharus chernovi chernovi DAREVSKY 1953
Ablepharus chernovi eiselti SCHMIDTLER 1997
Ablepharus chernovi isauriensis SCHMIDTLER 1997
Ablepharus chernovi ressli SCHMIDTLER 1997",Sauria,Scincidae,,10003
,Ablepharus darvazi,EREMCHENKO & PANFILOV 1990,,Sauria,Scincidae,,10004
,Ablepharus deserti,STRAUCH 1868,,Sauria,Scincidae,,10005
,Ablepharus eremchenkoi,PANFILOV 1999,,Sauria,Scincidae,new genus (was: Asymblepharus),11257
,Ablepharus grayanus,(STOLICZKA 1872),,Sauria,Scincidae,,10006
,Ablepharus himalayanus,(GÜNTHER 1864),,Sauria,Scincidae,new genus (was: Asymblepharus),11258
,Ablepharus kitaibelii,BIBRON & BORY ST-VINCENT 1833,"Ablepharus kitaibelii kitaibelii (BIBRON & BORY 1833)
Ablepharus kitaibelii fabichi STEPANEK 1937
Ablepharus kitaibelii fitzingeri MERTENS 1952
Ablepharus kitaibelii stepaneki FUHN 1970",Sauria,Scincidae,,10007
,Ablepharus ladacensis,(GÜNTHER 1864),"Ablepharus ladacensis ladacensis (GÜNTHER 1864)
Ablepharus ladacensis stimsoni EREMCENKO 1992",Sauria,Scincidae,new genus (was: Asymblepharus),11259
,Ablepharus lindbergi,WETTSTEIN 1960,,Sauria,Scincidae,,10008
,Ablepharus mahabharatus,"EREMCHENKO, SHAH & PANFILOV 1998",,Sauria,Scincidae,new genus (was: Asymblepharus),11260
,Ablepharus nepalensis,EREMCHENKO & HELFENBERGER 1998,,Sauria,Scincidae,new genus (was: Asymblepharus),11261
x,Ablepharus pannonicus,(LICHTENSTEIN 1823),,Sauria,Scincidae,,10009
,Ablepharus rueppellii,(GRAY 1839),"Ablepharus rueppellii rueppellii (GRAY 1839)
Ablepharus rueppellii festae PERACCA 1894",Sauria,Scincidae,,10010
,Ablepharus sikimmensis,(BLYTH 1854),,Sauria,Scincidae,new genus (was: Asymblepharus),11262
,Ablepharus tragbulensis,(ALCOCK 1898),,Sauria,Scincidae,new genus (was: Asymblepharus),11263
,Abronia antauges,(COPE 1866),,Sauria,Anguidae,,16319
,Abronia anzuetoi,CAMPBELL & FROST 1993,,Sauria,Anguidae,,10011
,Abronia aurita,(COPE 1869),,Sauria,Anguidae,,10012
,Abronia bogerti,TIHEN 1954,,Sauria,Anguidae,,10013
