"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","sd.tavg","sd.tmin","sd.tmax","sd.prec","sd.pet","sd.npp","sd.npp.sd","rng.tavg","rng.tmin","rng.tmax","rng.prec","rng.pet","rng.npp","rng.npp.sd"
"Agama agama","reptile","Squamata","Agamidae",11,"npp",0.485329174324881,0.529932085012792,0.125,0.73061295103757,1.32959605030586,0.787095387293919,61.9639062170671,172.665671557589,0.96863859538492,0.169864469601867,2.6662502288819,4.0036678314209,2.664499282837,188.66667175293,542.58996582031,3.55334722995758,0.565818309783932
"Agama lebretoni","reptile","Squamata","Agamidae",5,"npp",-0.214046674339758,-0.217408504531938,0.5,2.19420135512907,2.67879228745499,1.96189156677092,43.7557403533322,106.071484141796,0.652720405481822,0.19083260522096,5.855167388916,7.1639165878296,4.9243316650391,101.41667175293,262.04992675781,1.70936131477356,0.450609922409057
"Ahaetulla fronticincta","reptile","Squamata","Colubridae",12,"npp",0.108438011716463,0.108866069585265,0.111111111111111,0.297102419584934,0.343702390029886,0.677605798405537,81.8468827993472,86.6854383080808,0.876974402716462,0.297534100859311,1.050500869751,0.945356369018601,1.9562492370606,197.166671752929,225.27001953124,2.4653406739235,0.85361695289612
"Ahaetulla nasuta","reptile","Squamata","Colubridae",20,"npp",0.181194770430746,0.183217740943566,0.0588235294117647,2.11329228660743,1.96483734821999,2.39379860836266,76.197888836223,119.419657192255,0.857558269993195,0.377223482316573,7.1901683807373,7.0448331832886,7.7372493743896,234.416667938232,334.30993652344,2.41150939464569,1.32946652173996
"Ahaetulla prasina","reptile","Squamata","Colubridae",22,"npp",-0.433396981716035,-0.464071751741813,0.0526315789473684,3.44486244690383,3.40968430097293,3.52782696220218,75.7499902901701,130.827742189566,1.05790226818013,0.384339882012828,8.8229999542236,9.0921669006348,8.8589172363281,284.749992370606,381.14001464844,3.48697578907013,1.20741319656372
"Amphiesma stolatum","reptile","Squamata","Colubridae",13,"npp",-0.052361880410705,-0.0524098139725764,0.1,1.42356775001746,1.49964550945995,1.49607145104817,70.1120580760236,92.1293477239925,0.583226129461389,0.265919787176489,4.4857482910156,5.1164989471436,4.98766517639161,208.833343505859,276.01000976563,1.77744317054749,0.975834041833876
"Anolis carolinensis","reptile","Squamata","Dactyloidae",7,"npp",-0.498613700916381,-0.547459450168332,0.25,1.40392161416916,1.63289657634342,1.4079163546506,9.51551429283239,73.8112968437683,0.698161496012112,0.264551878477388,4.3429584503174,4.7066669464111,4.5769996643066,24.250007629395,201.54992675781,2.01374268531799,0.702633023262027
"Aspidoscelis tigris","reptile","Squamata","Teiidae",20,"npp",0.324927445943996,0.337146403278202,0.0588235294117647,4.93657623591751,5.16427944708598,4.85826242882712,11.0787122578322,193.748141855964,0.302852357418657,0.175257514177035,13.9095830917359,15.0334998965263,13.8614997863769,43.75,555.669921875,1.35901775583625,0.799238011240959
"Bitia hydroides","reptile","Squamata","Homalopsidae",6,"npp",-0.505169114054302,-0.556222239685897,0.333333333333333,0.160351793945486,0.0854976192705944,0.366296797258613,4.86581400248874,15.3134801058042,0.157267005830637,0.0774635825352594,0.406915664672901,0.261022567749002,0.8518257141113,12.08332824707,44.26000976562,0.43676841259002,0.21748822927475
"Boiga cyanea","reptile","Squamata","Colubridae",7,"npp",0.0181818181818182,0.0181838220854374,0.25,1.41427345100459,1.46497635836103,1.42674457549151,108.877136734414,62.8204701653769,0.848356774580149,0.420903041857966,3.7300281524658,3.8411674499511,3.9736442565918,308.75,154.13000488281,1.92808127403259,1.05906295776367
"Boiga irregularis","reptile","Squamata","Colubridae",8,"npp",-0.227113164955121,-0.231143514330463,0.2,0.177962900986928,0.14458133508389,0.240503262381738,4.03672284034892,38.7025480301607,0.34600235221418,0.13771528550004,0.510808944702198,0.3742160797119,0.736425399780199,10.58332824707,94.2099609375,0.90401172637939,0.371949493885045
"Boiga multomaculata","reptile","Squamata","Colubridae",12,"npp",0.416649617837502,0.443630967161824,0.111111111111111,3.15571402680068,3.19142868981842,3.18476596470442,109.0550636247,137.784232186821,1.04142291563809,0.445856068394702,11.0590000152588,11.4965000152588,11.6006660461426,342.916656494141,495.23999023438,2.95486128330231,1.18011799454689
"Boiga ochracea","reptile","Squamata","Colubridae",10,"npp",0.0181818181818183,0.0181838220854375,0.142857142857143,1.79459566461373,1.57943925043527,2.06173947090656,51.3151444904765,110.352858514745,0.655799900630729,0.222553577785346,6.4485836029052,5.2640838623047,7.6300849914551,194.66667175293,406.69995117188,2.21760642528534,0.817523360252381
"Callisaurus draconoides","reptile","Squamata","Phrynosomatidae",11,"npp",-0.0896393607881137,-0.0898806154928882,0.125,2.14144488702307,2.12842688341185,2.49419154428147,7.22421417590046,113.786976344902,0.298155217879799,0.0540774774639163,7.3170833587647,7.58005619049077,9.2403354644775,20.0833339691162,420.07006835937,0.986923117190602,0.148513346910477
"Cerberus rynchops","reptile","Squamata","Homalopsidae",11,"npp",0.499443937920174,0.54856500283899,0.125,0.433995618986643,0.481126943997908,0.739811032923603,76.4146128035872,86.4751067812306,0.951444331580475,0.329255905428396,1.4893341064453,1.4728736877442,2.2034168243408,197.166671752929,208.52001953124,2.4653406739235,0.868289589881899
"Charina bottae","reptile","Squamata","Boidae",10,"npp",-0.155284732445226,-0.156551252536389,0.142857142857143,2.99083056237482,3.97984028283231,2.22503386686411,23.208371494733,84.3896475466463,1.10847296028117,0.429742821232253,7.45183324813845,10.4528423547745,6.6063327789307,75.083335876465,261.289978027341,3.27213776111602,1.2602304816246
"Chrysopelea ornata","reptile","Squamata","Colubridae",14,"npp",-0.107384694622425,-0.10780034214101,0.0909090909090909,2.81890870862191,2.71117463936486,3.02207183967454,97.0330991135789,138.15153263815,0.94155525214418,0.322114998259305,9.3913326263428,9.1138334274292,11.1045837402344,336.583320617676,532.830078125,2.94255805015564,0.986663281917577
"Coluber constrictor","reptile","Squamata","Colubridae",16,"npp",-0.0948407167268513,-0.0951266178317123,0.0769230769230769,4.33406469708876,4.80530089787182,4.01099216893963,39.4602685255745,176.86287922407,0.844346402664633,0.409786421947625,13.0842494964599,14.770499765873,12.2663326263428,115.999996185302,555.199951171872,3.11488109827041,1.31178426742554
"Contia tenuis","reptile","Squamata","Dipsadidae",8,"npp",0.522235197081916,0.57940824539026,0.2,2.35870998488038,2.77846946415399,2.20508299183539,37.4187991459746,118.039704578929,0.91542325490069,0.312302390399064,6.09283351898196,6.56666660308838,6.0169162750244,88,340.999938964844,2.34311163425445,1.03593528270721
"Crotalus atrox","reptile","Squamata","Viperidae",15,"npp",-0.59460370315073,-0.684757711478387,0.0833333333333333,1.16537216754731,1.11249114115135,1.38480696522077,4.51231433653241,68.0504650577907,0.0938719434943517,0.0600796217015329,4.0536670684814,4.13941574096679,4.1668338775635,15.5,229.68994140625,0.307026103138924,0.207936927676201
"Crotalus mitchellii","reptile","Squamata","Viperidae",5,"npp",0.804251901265801,1.11053635181159,0.5,3.06976341722776,3.473534027584,2.79104216538292,13.1067200633763,95.0291843245856,0.436334403403408,0.197511999058455,8.1124992370606,8.4840831756592,7.7390003204346,24.6666669845581,238.5,1.06615018844604,0.485288083553314
"Crotalus scutulatus","reptile","Squamata","Viperidae",12,"npp",0.233713431691446,0.238113870249878,0.111111111111111,1.77914763166236,2.28829580051795,1.45690933903519,6.04449616124998,50.4112023164854,0.134766301336792,0.113211876942666,5.640832901001,7.87091684341427,3.8559169769287,23.8333330154419,177.07995605468,0.556470774114131,0.338663205504417
"Crotalus viridis","reptile","Squamata","Viperidae",24,"npp",-0.360867252782906,-0.377882643219369,0.0476190476190476,3.28213570736399,3.60627160547251,3.15503801481238,26.2495976497667,138.121209272787,0.648616956846602,0.367904792889302,11.6052498817444,13.3499014079571,11.5177488327026,107.91667175293,445.930053710932,2.85584399104119,1.27011120319366
"Crotaphytus bicinctores","reptile","Squamata","Crotaphytidae",6,"npp",-0.603962408484924,-0.699361608613852,0.333333333333333,6.17202746957193,6.58172383547493,5.8978098660205,9.63092038208996,243.494738251567,0.117585181809265,0.0510107399973725,14.4125833511352,15.9329164922238,12.8905849456787,20.1666660308838,559.08996582031,0.303920689970255,0.116171672940254
"Cylindrophis ruffus","reptile","Squamata","Cylindrophiidae",5,"npp",0.775,1.03272764985255,0.5,1.7364709424632,2.02216336681771,1.45953461544333,87.4515306310594,53.3505777143703,0.82213571923732,0.331379687832129,3.5091667175293,3.9790000915528,3.1700820922851,201.166679382324,148.05993652344,2.09266698360443,0.862587988376615
"Dendrelaphis cyanochloris","reptile","Squamata","Colubridae",6,"npp",-0.581353435972874,-0.664504661520977,0.333333333333333,1.9935484498517,1.65438631094405,2.33434308475515,25.8685636805761,102.482675301032,0.461232615579274,0.174713858128756,5.1295013427734,4.246166229248,6.0137500762939,73.750015258789,268.14001464844,1.16493058204651,0.45579481124877
"Dendrelaphis proarchos","reptile","Squamata","Colubridae",9,"npp",-0.172066628432095,-0.17379556834626,0.166666666666667,2.23880679679802,2.41966084513077,2.12317823305655,86.9625992217645,102.67008472981,0.944015467375521,0.312064055533508,6.8796672821045,7.5237493515015,6.880666732788,255.583335876465,259.40002441406,2.86310744285583,0.860904693603512
"Dendrelaphis subocularis","reptile","Squamata","Colubridae",5,"npp",-0.0999999999999999,-0.100335347731075,0.5,0.563943100098295,0.659247660814231,0.605266890706986,38.6592768560088,20.6851374683877,0.295260432377722,0.095549920906341,1.4498329162598,1.7427501678467,1.696834564209,85.8333358764652,55.15002441406,0.7021610736847,0.250501692295072
"Diadophis punctatus","reptile","Squamata","Colubridae",20,"npp",0.0757075275185176,0.0758526694914575,0.0588235294117647,4.28204747875189,4.27298651401565,4.54445645959402,22.3539527145723,223.495298305672,0.604978497686387,0.488777733471677,16.6001672744751,18.3271666765213,16.9487495422364,87.9166679382324,986.250061035154,2.47044610977173,1.8591673374176
"Dinodon septentrionale","reptile","Squamata","Colubridae",7,"npp",-0.521850790514506,-0.578879830478664,0.25,3.7554851270341,3.65645485736995,3.88194731325765,51.5343450152394,162.059336905615,1.15777139210372,0.286991990889709,12.9355001449585,12.4810833930969,13.3913326263428,162.25,523.76000976562,3.27990126609803,0.911856710910797
"Dipsosaurus dorsalis","reptile","Squamata","Iguanidae",9,"npp",-0.398496819791845,-0.421860708047937,0.166666666666667,2.09760341545175,2.31911711891734,1.91779392748695,4.60445473122859,69.5829151514274,0.050339651210289,0.0543333319522986,6.4535007476807,7.05541658401485,6.1423320770263,11.75,235.61999511719,0.16504643112421,0.171763122081757
"Elaphe taeniura","reptile","Squamata","Colubridae",6,"npp",0.423942131546134,0.452488165735874,0.333333333333333,3.42223960813219,3.68136027112066,3.1669852603615,70.7965346736925,65.7490007639369,1.17058275615995,0.246324274122038,8.0969161987304,8.6957507133484,7.4986667633057,151.583343505859,157.52001953126,2.93891322612763,0.666371166706085
"Elgaria coerulea","reptile","Squamata","Anguidae",7,"npp",-0.604729630605789,-0.700570278345975,0.25,3.8885408488427,4.50035779941763,3.37126968836089,37.1894470547072,104.144812668317,1.25509371820384,0.541973347040419,10.4172344207764,11.8059191703796,9.14150047302244,105.41667175293,311.180053710935,3.35533857345581,1.61867240071297
"Elgaria multicarinata","reptile","Squamata","Anguidae",23,"npp",-0.0371969507340587,-0.0372141203866582,0.05,1.62576855524659,1.66319258718124,1.85289279582623,18.093355136905,112.64505323201,0.818773735417893,0.326176321195771,6.97883319854737,7.22393894195557,7.7378339767456,84.4999980926512,457.360046386714,3.04116731882095,1.23864901065826
