Taxon,Family,Subfamily,Clade,Tree Genus,Genus,Species,Genes,Length
Amphisbaenia,Amphisbaenidae,Amphisbaeninae,Amphisbaeninae,Amphisbaena,Amphisbaena,Amphisbaena absaberi,,
Amphisbaenia,Amphisbaenidae,Amphisbaeninae,Amphisbaeninae,Amphisbaena,Amphisbaena,Amphisbaena acrobeles,,
Amphisbaenia,Amphisbaenidae,Amphisbaeninae,Amphisbaeninae,Amphisbaena,Amphisbaena,Amphisbaena alba,7,5203
Amphisbaenia,Amphisbaenidae,Amphisbaeninae,Amphisbaeninae,Amphisbaena,Amphisbaena,Amphisbaena albocingulata,,
Amphisbaenia,Amphisbaenidae,Amphisbaeninae,Amphisbaeninae,Amphisbaena,Amphisbaena,Amphisbaena amazonica,,
Amphisbaenia,Amphisbaenidae,Amphisbaeninae,Amphisbaeninae,Amphisbaena,Amphisbaena,Amphisbaena anaemariae,5,3135
Amphisbaenia,Amphisbaenidae,Amphisbaeninae,Amphisbaeninae,Amphisbaena,Amphisbaena,Amphisbaena angustifrons,5,3139
Amphisbaenia,Amphisbaenidae,Amphisbaeninae,Amphisbaeninae,Amphisbaena,Amphisbaena,Amphisbaena anomala,5,3136
Amphisbaenia,Amphisbaenidae,Amphisbaeninae,Amphisbaeninae,Amphisbaena,Amphisbaena,Amphisbaena arda,,
Amphisbaenia,Amphisbaenidae,Amphisbaeninae,Amphisbaeninae,Amphisbaena,Amphisbaena,Amphisbaena arenaria,,
Amphisbaenia,Amphisbaenidae,Amphisbaeninae,Amphisbaeninae,Amphisbaena,Amphisbaena,Amphisbaena bahiana,,
Amphisbaenia,Amphisbaenidae,Amphisbaeninae,Amphisbaeninae,Amphisbaena,Amphisbaena,Amphisbaena bakeri,2,2229
Amphisbaenia,Amphisbaenidae,Amphisbaeninae,Amphisbaeninae,Amphisbaena,Amphisbaena,Amphisbaena barbouri,2,2218
Amphisbaenia,Amphisbaenidae,Amphisbaeninae,Amphisbaeninae,Amphisbaena,Amphisbaena,Amphisbaena bassleri,,
Amphisbaenia,Amphisbaenidae,Amphisbaeninae,Amphisbaeninae,Amphisbaena,Amphisbaena,Amphisbaena bedai,,
Amphisbaenia,Amphisbaenidae,Amphisbaeninae,Amphisbaeninae,Amphisbaena,Amphisbaena,Amphisbaena bilabialatus,,
Amphisbaenia,Amphisbaenidae,Amphisbaeninae,Amphisbaeninae,Amphisbaena,Amphisbaena,Amphisbaena bolivica,5,3101
Amphisbaenia,Amphisbaenidae,Amphisbaeninae,Amphisbaeninae,Amphisbaena,Amphisbaena,Amphisbaena borelli,,
