".id","sub_tsn","acc_tsn","syn_author","syn_name","syn_tsn","acc_name","acc_author"
"Abrothrix longipilis","970639","970639","(Waterhouse, 1837)","Akodon longipilis","633048",NA,NA
"Abrothrix longipilis","970639","970639","Thomas, 1895","Acodon hirtus","971553",NA,NA
"Abrothrix longipilis","970639","970639","Osgood, 1943","Akodon longipilis apta","973372",NA,NA
"Abrothrix longipilis","970639","970639","Osgood, 1943","Akodon longipilis castaneus","973373",NA,NA
"Allactaga sibirica","609741","609741","Olivier, 1800","Dipus alactaga","952086",NA,NA
"Allactaga sibirica","609741","609741","Milne-Edwards, 1867","Dipus annulatus","952087",NA,NA
"Allactaga sibirica","609741","609741","Blainville, 1817","Dipus brachyurus","952088",NA,NA
"Allactaga sibirica","609741","609741","Hollister, 1912","Allactaga grisescens","952089",NA,NA
"Allactaga sibirica","609741","609741","Illiger, 1825","Dipus halticus","952090",NA,NA
"Allactaga sibirica","609741","609741","Thomas, 1914","Allactaga ruckbeili","952091",NA,NA
"Allactaga sibirica","609741","609741","Shaw, 1790","Mus saliens","952092",NA,NA
"Allactaga sibirica","609741","609741","Eversmann, 1848","Dipus saltator","952093",NA,NA
"Allactaga sibirica","609741","609741","Satunin, 1900","Allactaga suschkini","952094",NA,NA
"Allactaga sibirica","609741","609741","Pallas, 1779","Mus jaculus media","952195",NA,NA
"Allactaga sibirica","609741","609741","Radde, 1861","Dipus jaculus mongolica","952196",NA,NA
"Allactaga sibirica","609741","609741","Miller, 1911","Allactaga mongolica longior","952197",NA,NA
"Allactaga sibirica","609741","609741","Ognev, 1946","Allactaga sibirica altorum","952198",NA,NA
"Allactaga sibirica","609741","609741","Bannikov, 1947","Allactaga sibirica semideserta","952199",NA,NA
"Allactaga sibirica","609741","609741","Toktosunov, 1958","Allactaga saltator dementiewi","952200",NA,NA
"Allactaga sibirica","609741","609741","Shenbrot, 1991","Allactaga sibirica ognevi","952201",NA,NA
"Allactaga sibirica","609741","609741","Shenbrot, 1991","Allactaga sibirica bulganensis","952202",NA,NA
"Alticola strelzowi","632816","632816","Ognev, 1944","Platycranius strelzowi depressus","972653",NA,NA
"Alticola strelzowi","632816","632816","Kastschenko, 1901","Microtus strelzowi desertorum","972654",NA,NA
"Apodemus pallipes","970803","970803","(Wroughton, 1908)","Apodemus wardi","585144",NA,NA
"Apodemus pallipes","970803","970803","Wroughton, 1908","Micromys sylvaticus pentax","973605",NA,NA
"Apodemus pallipes","970803","970803","Wroughton, 1908","Micromys sylvaticus wardi","973606",NA,NA
"Apodemus peninsulae","585138","585138","Hollister, 1913","Apodemus nigritalus","971825",NA,NA
"Apodemus peninsulae","585138","585138","Miller, 1914","Apodemus praetor","971826",NA,NA
"Apodemus peninsulae","585138","585138","Kastschenko, 1899","Mus tscherga","971827",NA,NA
"Apodemus peninsulae","585138","585138","Thomas, 1907","Micromys speciosus giliacus","973607",NA,NA
"Apodemus peninsulae","585138","585138","Radde, 1862","Mus sylvaticus major","973608",NA,NA
"Apodemus peninsulae","585138","585138","Turov, 1924","Sylvimus sylvaticus majusculus","973609",NA,NA
"Apodemus peninsulae","585138","585138","Dukelski, 1928","Mus major rufulus","973610",NA,NA
"Apodemus uralensis","585145","585145","Severtsov, 1873","Mus major","971838",NA,NA
"Apodemus uralensis","585145","585145","Miller, 1912","Apodemus microtis","971839",NA,NA
"Apodemus uralensis","585145","585145","Severtzov, 1873","Mus tokmak","971840",NA,NA
"Apodemus uralensis","585145","585145","Dahl, 1929","Sylvaemus sylvaticus baessleri","973651",NA,NA
"Apodemus uralensis","585145","585145","Ognev, 1924","Sylvaemus sylvaticus ciscaucasicus","973652",NA,NA
"Apodemus uralensis","585145","585145","Ognev, 1913","Mus sylvaticus mosquensis","973653",NA,NA
"Apodemus uralensis","585145","585145","Kashkarov, 1926","Apodemus arianus pallidus","973654",NA,NA
"Artibeus jamaicensis aequatorialis","948232","947271","K. Andersen, 1906","Artibeus jamaicensis aequatorialis","948232","Artibeus aequatorialis","K. Andersen, 1906"
"Callospermophilus lateralis","930305","930305","(Say, 1823)","Spermophilus lateralis","180154",NA,NA
"Calomys callosus","633094","633094","Thomas, 1921","Hesperomys muriculus","971557",NA,NA
"Castor canadensis","180212","180212","Bangs, 1913","Castor caecator","900102",NA,NA
"Castor canadensis","180212","180212","Heller, 1909","Castor canadensis phaeus","900103",NA,NA
"Castor canadensis","180212","180212","Bailey and Doutt, 1942","Castor canadensis acadicus","900104",NA,NA
"Castor canadensis","180212","180212","Nelson, 1927","Castor canadensis baileyi","900105",NA,NA
"Castor canadensis","180212","180212","Taylor, 1916","Castor canadensis belugae","900106",NA,NA
"Castor canadensis","180212","180212","Bangs, 1913","Castor canadensis caecator","900107",NA,NA
"Castor canadensis","180212","180212","Kuhl, 1820","Castor canadensis canadensis","900108",NA,NA
"Castor canadensis","180212","180212","Rhoads, 1898","Castor canadensis carolinensis","900109",NA,NA
"Castor canadensis","180212","180212","Warren and Hall, 1939","Castor canadensis concisor","900110",NA,NA
"Castor canadensis","180212","180212","Durrant and Crane, 1948","Castor canadensis duchesnei","900111",NA,NA
"Castor canadensis","180212","180212","Mearns, 1897","Castor canadensis frondator","900112",NA,NA
"Castor canadensis","180212","180212","Jewett and Hall, 1940","Castor canadensis idoneus","900113",NA,NA
"Castor canadensis","180212","180212","Bailey and Doutt, 1942","Castor canadensis labradorensis","900114",NA,NA
"Castor canadensis","180212","180212","Gray, 1869","Castor canadensis leucodontus","900115",NA,NA
"Castor canadensis","180212","180212","Bailey, 1913","Castor canadensis mexicanus","900116",NA,NA
"Castor canadensis","180212","180212","Bailey, 1913","Castor canadensis michiganensis","900117",NA,NA
"Castor canadensis","180212","180212","Bailey, 1919","Castor canadensis missouriensis","900118",NA,NA
"Castor canadensis","180212","180212","Durrant and Crane, 1948","Castor canadensis pallidus","900119",NA,NA
"Castor canadensis","180212","180212","Goldman, 1932","Castor canadensis repentinus","900120",NA,NA
"Castor canadensis","180212","180212","Durrant and Crane, 1948","Castor canadensis rostralis","900121",NA,NA
"Castor canadensis","180212","180212","Benson, 1933","Castor canadensis sagittatus","900122",NA,NA
"Castor canadensis","180212","180212","Taylor, 1916","Castor subauratus shastensis","900123",NA,NA
"Castor canadensis","180212","180212","Taylor, 1912","Castor subauratus subauratus","900124",NA,NA
"Castor canadensis","180212","180212","Davis, 1939","Castor canadensis taylori","900125",NA,NA
"Castor canadensis","180212","180212","Bailey, 1905","Castor canadensis texensis","900126",NA,NA
"Chaetodipus arenarius","625239","625239","Merriam, 1894","Perognathus arenarius","900645",NA,NA
"Chaetodipus baileyi","552520","552520","Merriam, 1894","Perognathus baileyi","180257",NA,NA
"Chaetodipus californicus","552491","552491","Merriam, 1889","Perognathus californicus","180258",NA,NA
"Chaetodipus eremicus","552489","552489","Mearns, 1898","Perognathus eremicus","900647",NA,NA
"Chaetodipus fallax","552510","552510","Merriam, 1889","Perognathus fallax","180259",NA,NA
"Chaetodipus formosus","552482","552482","Merriam, 1889","Perognathus formosus","180263",NA,NA
"Chaetodipus hispidus","552483","552483","Baird, 1858","Perognathus hispidus","180264",NA,NA
"Chaetodipus intermedius","552484","552484","Merriam, 1889","Perognathus intermedius","180266",NA,NA
"Chaetodipus penicillatus","552486","552486","Woodhouse, 1852","Perognathus penicillatus","180270",NA,NA
"Chaetodipus spinatus","552487","552487","Merriam, 1889","Perognathus spinatus","180271",NA,NA
"Cratogeomys castanops","900158","900158","(Baird, 1852)","Pappogeomys castanops","180220",NA,NA
"Cricetulus barabensis","632729","632729","Pallas, 1779","Mus furunculus","971346",NA,NA
"Cricetulus barabensis","632729","632729","Milne-Edwards, 1867","Cricetulus griseus","971347",NA,NA
"Cricetulus barabensis","632729","632729","Mori, 1930","Cricetulus manchuricus","971348",NA,NA
"Cricetulus barabensis","632729","632729","Thomas, 1888","Cricetulus mongolicus","971349",NA,NA
"Cricetulus barabensis","632729","632729","Milne-Edwards, 1867","Cricetulus obscurus","971350",NA,NA
"Cricetulus barabensis","632729","632729","Argyropulo, 1941","Cricetulus barabensis ferrugineus","973020",NA,NA
"Cricetulus barabensis","632729","632729","Thomas, 1909","Cricetulus griseus fumatus","973021",NA,NA
"Cricetulus longicaudatus","632731","632731","Thomas, 1908","Cricetulus andersoni","971353",NA,NA
"Cricetulus longicaudatus","632731","632731","Satunin, 1902","Cricetulus dichrootis","971354",NA,NA
"Cricetulus longicaudatus","632731","632731","Satunin, 1903","Cricetulus phaeus griseiventris","973023",NA,NA
"Cricetulus longicaudatus","632731","632731","G. M. Allen, 1925","Cricetulus andersoni nigrescens","973024",NA,NA
"Cricetulus migratorius","632732","632732","Pallas, 1779","Mus accedula","971355",NA,NA
"Cricetulus migratorius","632732","632732","Pallas, 1773","Mus arenarius","971356",NA,NA
"Cricetulus migratorius","632732","632732","Nehring, 1902","Cricetulus atticus","971357",NA,NA
"Cricetulus migratorius","632732","632732","Wagner, 1848","Hypudaeus cinerascens","971358",NA,NA
"Cricetulus migratorius","632732","632732","Severtzov, 1879","Arvicola coerulescens","971359",NA,NA
"Cricetulus migratorius","632732","632732","Matschie, 1918","Cricetulus falzfeini","971360",NA,NA
"Cricetulus migratorius","632732","632732","Blanford, 1875","Cricetulus fulvus","971361",NA,NA
"Cricetulus migratorius","632732","632732","de Filippi, 1865","Cricetus isabellinus","971362",NA,NA
"Cricetulus migratorius","632732","632732","Severtzov, 1876","Cricetulus murinus","971363",NA,NA
"Cricetulus migratorius","632732","632732","Pallas, 1779","Mus phaeus","971364",NA,NA
"Cricetulus migratorius","632732","632732","Scharleman, 1915","Cricetulus arenarius bellicosus","973025",NA,NA
"Cricetulus migratorius","632732","632732","Kashkarov, 1923","Cricetulus migratorius caesius","973026",NA,NA
"Cricetulus migratorius","632732","632732","Kashkarov, 1926","Cricetulus migratorius cinereus","973027",NA,NA
"Cricetulus migratorius","632732","632732","Thomas, 1917","Cricetulus migratorius griseiventris","973028",NA,NA
"Cricetulus migratorius","632732","632732","Kashkarov, 1923","Cricetulus migratorius griseus","973029",NA,NA
"Cricetulus migratorius","632732","632732","Ognev, 1916","Cricetulus phaeus neglectus","973030",NA,NA
"Cricetulus migratorius","632732","632732","Ognev, 1923","Cricetulus fulvus pamirensis","973031",NA,NA
"Cricetulus migratorius","632732","632732","Ognev, 1924","Cricetulus migratorius pulcher","973032",NA,NA
"Cricetulus migratorius","632732","632732","Thomas, 1917","Cricetulus migratorius vernula","973033",NA,NA
"Cricetulus migratorius","632732","632732","Pidoplitschka, 1928","Cricetulus migratorius zvierezombi","973034",NA,NA
"Cuniculus paca","825307","825307","(Linnaeus, 1766)","Agouti paca","584738",NA,NA
"Cynomys ludovicianus","180186","180186","Elliot, 1905","Cynomys pyrrotrichus","930282",NA,NA
"Desmodillus auricularis","632910","632910","F. Cuvier, 1838","Gerbillus brevicaudatus","971703",NA,NA
"Desmodillus auricularis","632910","632910","Dollman, 1910","Desmodillus auricularis pudicus","973481",NA,NA
"Dicrostonyx groenlandicus","180328","180328","Anderson and Rand, 1945","Dicrostonyx kilangmiutak","180330",NA,NA
"Dicrostonyx groenlandicus","180328","180328","(Richardson, 1839)","Dicrostonyx rubricatus","180333",NA,NA
"Dicrostonyx groenlandicus","180328","180328","Richardson, 1839","Arvicola rubricatus","971049",NA,NA
"Dicrostonyx groenlandicus","180328","180328","Stone, 1900","Dicrostonyx hudsonius alascensis","972708",NA,NA
"Dicrostonyx groenlandicus","180328","180328","Handley, 1953","Dicrostonyx groenlandicus clarus","972709",NA,NA
"Dicrostonyx groenlandicus","180328","180328","Anderson and Rand, 1945","Dicrostonyx groenlandicus kilangmiutak","972710",NA,NA
"Dicrostonyx groenlandicus","180328","180328","Handley, 1953","Dicrostonyx groenlandicus lentus","972711",NA,NA
"Dicrostonyx torquatus","180326","180326","G. M. Allen, 1914","Dicrostonyx chionopaes","971050",NA,NA
"Dicrostonyx torquatus","180326","180326","Kerr, 1792","Mus lenae","971051",NA,NA
"Dicrostonyx torquatus","180326","180326","Pallas, 1779","Mus lenensis","971052",NA,NA
"Dicrostonyx torquatus","180326","180326","Von Baer, 1841","Lemmus ungulatus","971053",NA,NA
"Dicrostonyx torquatus","180326","180326","Middendorff, 1853","Myodes torquatus pallida","972713",NA,NA
"Dipodomys panamintinus","180245","180245","Merriam, 1894","Perodipus panamintinus","900656",NA,NA
"Dipus sagitta","609755","609755","Barrett-Hamilton, 1900","Dipus deasyi","952101",NA,NA
"Dipus sagitta","609755","609755","Sowerby, 1920","Dipus halli","952102",NA,NA
"Dipus sagitta","609755","609755","Lichtenstein, 1823","Dipus lagopus","952103",NA,NA
"Dipus sagitta","609755","609755","Satunin, 1907","Dipus nogai","952104",NA,NA
"Dipus sagitta","609755","609755","Thomas, 1908","Dipus sowerbyi","952105",NA,NA
"Dipus sagitta","609755","609755","Ognev, 1930","Dipodipus sagitta innae","952159",NA,NA
"Dipus sagitta","609755","609755","Selevin, 1934","Dipus sagitta zaissanensis","952160",NA,NA
"Dipus sagitta","609755","609755","Bannikov, 1947","Dipus sagitta ubsanensis","952161",NA,NA
"Dipus sagitta","609755","609755","Wang, 1964","Dipus sagitta aksuensis","952162",NA,NA
"Dipus sagitta","609755","609755","Wang, 1964","Dipus sagitta fuscocanus","952163",NA,NA
"Dipus sagitta","609755","609755","Shenbrot, 1991","Dipus sagitta austrouralensis","952164",NA,NA
"Dipus sagitta","609755","609755","Shenbrot, 1991","Dipus sagitta turanicus","952165",NA,NA
"Dipus sagitta","609755","609755","Shenbrot, 1991","Dipus sagitta megacranius","952166",NA,NA
"Dipus sagitta","609755","609755","Shenbrot, 1991","Dipus sagitta usuni","952167",NA,NA
"Dipus sagitta","609755","609755","Shenbrot, 1991","Dipus sagitta bulganensis","952168",NA,NA
"Ellobius tancrei","632835","632835","Thomas, 1912","Ellobius albicatus","971061",NA,NA
"Ellobius tancrei","632835","632835","Thomas, 1912","Ellobius coenosus","971062",NA,NA
"Ellobius tancrei","632835","632835","Vinogradov, 1936","Ellobius fuscipes","971063",NA,NA
"Ellobius tancrei","632835","632835","Thomas, 1912","Ellobius kastschenkoi","971064",NA,NA
"Ellobius tancrei","632835","632835","G. M. Allen, 1924","Ellobius larvatus","971065",NA,NA
"Ellobius tancrei","632835","632835","Dukelski, 1927","Ellobius talpinus ognevi","972720",NA,NA
"Ellobius tancrei","632835","632835","Thomas, 1912","Ellobius fusciceps ursulus","972721",NA,NA
"Erethizon dorsatum","180393","825295","(Linnaeus, 1758)","Erethizon dorsatum","180393","Erethizon dorsatus","(Linnaeus, 1758)"
"Euryoryzomys nitidus","972467","972467","(Thomas, 1884)","Oryzomys nitidus","633237",NA,NA
"Geomys arenarius","180215","180215","Merriam, 1895","Geomys bursarius arenarius","900557",NA,NA
"Geomys knoxjonesi","552518","552518","Baker and Genoways, 1975","Geomys bursarius knoxjonesi","900588",NA,NA
"Geomys bursarius lutescens","900249","900196","Merriam, 1890","Geomys bursarius lutescens","900249","Geomys lutescens","Merriam, 1890"
"Hydromys chrysogaster","585251","585251","Peters, 1874","Hydromys beccarii","971922",NA,NA
"Hydromys chrysogaster","585251","585251","Thomas, 1906","Hydromys esox","971923",NA,NA
"Hydromys chrysogaster","585251","585251","Gould, 1853","Hydromys fuliginosus","971924",NA,NA
"Hydromys chrysogaster","585251","585251","Jourdan, 1837","Hydromys fulvogaster","971925",NA,NA
