".id","mig"
"Acanthis flammea","migratory"
"Acanthis hornemanni","migratory"
"Actitis macularia","migratory"
"Aglaiocercus kingi","resident"
"Alethe poliocephala","resident"
"Anser caerulescens","migratory"
"Anthreptes collaris","resident"
"Baillonius bailloni","resident"
"Basileuterus fulvicauda","resident"
"Basileuterus leucoblepharus","resident"
"Basileuterus luteoviridis","resident"
"Basileuterus rivularis","resident"
"Cercotrichas leucophrys","resident"
"Cercotrichas paena","resident"
"Cercotrichas quadrivirgata","resident"
"Cettia fortipes","migratory"
"Cettia ruficapilla","resident"
"Ciccaba virgata","resident"
"Cormobates leucophaeus","resident"
"Diglossopis caerulescens","resident"
"Diglossopis cyanea","resident"
"Haemorhous cassinii","migratory"
"Haemorhous mexicanus","migratory"
"Haemorhous purpureus","migratory"
"Hylocharis leucotis","resident"
"Ixos everetti","resident"
"Ixos philippinus","resident"
"Larus philadelphia","migratory"
"Mareca americana","migratory"
"Melanorectes nigrescens","resident"
"Molothrus badius","resident"
"Monarcha trivirgatus","migratory"
"Nectarinia olivacea","resident"
"Nectarinia senegalensis","migratory"
"Nyctipolus nigrescens","resident"
"Ochthoeca diadema","resident"
"Oreothlypis ruficapilla","migratory"
"Oreothlypis virginiae","migratory"
"Phalaropus fulicaria","migratory"
"Pseudorectes ferrugineus","resident"
"Pygochelidon cyanoleuca","migratory"
"Saxicola torquata","resident"
"Selasphorus calliope","migratory"
"Spinus magellanicus","resident"
"Spinus pinus","migratory"
"Spinus psaltria","migratory"
"Spinus tristis","migratory"
"Spizelloides arborea","migratory"
"Streptopelia senegalensis","migratory"
"Systellura longirostris","migratory"
"Telophorus sulfureopectus","resident"
"Thryothorus leucotis","resident"
"Thryothorus maculipectus","resident"
"Thryothorus modestus","resident"
"Tiaris obscura","migratory"
