".id","mig"
"Abrornis humei","migratory"
"Abrornis proregulus","migratory"
"Acanthis flammea","migratory"
"Acanthis hornemanni","migratory"
"Anser caerulescens","migratory"
"Antigone canadensis","migratory"
"Arundinax aedon","migratory"
"Calidris subruficollis","migratory"
"Calliope calliope","migratory"
"Colaptes cafer","migratory"
"Curruca melanocephala","migratory"
"Haemorhous mexicanus","migratory"
"Mareca americana","migratory"
"Mareca strepera","migratory"
"Psittacara leucophthalmus","resident"
"Siva cyanouroptera","resident"
"Spinus tristis","migratory"
