".id","nameString","nameComplete","nameFormatted","nameGuid","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","nameAccordingTo","nameAccordingToID","namePublishedIn","namePublishedInYear","namePublishedInID","nameAuthority","taxonRemarks","infoSourceURL","datasetURL"
"Acanthis flammea","Carduelis flammea","Carduelis flammea (Linnaeus)","<span class=""scientific-name rank-species""><span class=""name"">Carduelis flammea</span> <span class=""author"">(Linnaeus)</span></span>","NBNSYS0000000118",NA,"synonym",NA,NA,NA,NA,NA,NA,"UKSI",NA,NA,NA
"Acanthis flammea","Carduelis flammea","Carduelis flammea (Linnaeus, 1758)","<span class=""scientific-name rank-species""><span class=""name"">Carduelis flammea</span> <span class=""author"">(Linnaeus, 1758)</span></span>","NHMSYS0000530249",NA,"synonym",NA,NA,NA,NA,NA,NA,"UKSI",NA,NA,NA
"Acanthis flammea","Carduelis rufescens","Carduelis rufescens (Vieillot)","<span class=""scientific-name rank-species""><span class=""name"">Carduelis rufescens</span> <span class=""author"">(Vieillot)</span></span>","NBNSYS0000143693",NA,"synonym",NA,NA,NA,NA,NA,NA,"UKSI",NA,NA,NA
"Acanthis flammea","Fringilla linaria","Fringilla linaria Linnaeus","<span class=""scientific-name rank-species""><span class=""name"">Fringilla linaria</span> <span class=""author"">Linnaeus</span></span>","NBNSYS0000147499",NA,"synonym",NA,NA,NA,NA,NA,NA,"UKSI",NA,NA,NA
"Acanthis flammea","Linota canescens","Linota canescens (Gould)","<span class=""scientific-name rank-species""><span class=""name"">Linota canescens</span> <span class=""author"">(Gould)</span></span>","NBNSYS0000150657",NA,"synonym",NA,NA,NA,NA,NA,NA,"UKSI",NA,NA,NA
"Acanthis hornemanni","Carduelis hornemanni","Carduelis hornemanni (Holboell, 1843)","<span class=""scientific-name rank-species""><span class=""name"">Carduelis hornemanni</span> <span class=""author"">(Holboell, 1843)</span></span>","NHMSYS0000530251",NA,"synonym",NA,NA,NA,NA,NA,NA,"UKSI",NA,NA,NA
"Acanthis hornemanni","Carduelis hornemanni","Carduelis hornemanni (Holboll)","<span class=""scientific-name rank-species""><span class=""name"">Carduelis hornemanni</span> <span class=""author"">(Holboll)</span></span>","NBNSYS0000000509",NA,"synonym",NA,NA,NA,NA,NA,NA,"UKSI",NA,NA,NA
"Arundinax aedon","Acrocephalus aedon","Acrocephalus aedon (Pallas)","<span class=""scientific-name rank-species""><span class=""name"">Acrocephalus aedon</span> <span class=""author"">(Pallas)</span></span>","NBNSYS0000000464",NA,"synonym",NA,NA,NA,NA,NA,NA,"UKSI",NA,NA,NA
"Arundinax aedon","Acrocephalus aedon","Acrocephalus aedon (Pallas, 1776)","<span class=""scientific-name rank-species""><span class=""name"">Acrocephalus aedon</span> <span class=""author"">(Pallas, 1776)</span></span>","NHMSYS0000530122",NA,"synonym",NA,NA,NA,NA,NA,NA,"UKSI",NA,NA,NA
"Arundinax aedon","Iduna aedon","Iduna aedon (Pallas, 1776)","<span class=""scientific-name rank-species""><span class=""name"">Iduna aedon</span> <span class=""author"">(Pallas, 1776)</span></span>","NHMSYS0021003788",NA,"synonym",NA,NA,NA,NA,NA,NA,"UKSI",NA,NA,NA
